policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,workload,contact_model,task_count,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
ActiveInf-inspired,216.358083982634,14981.414949676564,260,57.62082672952525,7135576.0,2615112.0,63.35107355033427,0.0140707677437603,76.51788333991762,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0315530774129841,,,,,4,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9484693084228804
LEO-DRL-inspired,215.94333337981132,14981.414949676564,260,57.62082672952525,7135576.0,2615568.0,63.34468303609968,0.0140707677437603,76.51790440684552,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0580180773305563,,,,,4,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9466511271458694
Hierarchical-RA-inspired,216.35801794138064,14981.414949676564,260,57.62082672952525,7135576.0,2626888.0,63.186041323083096,0.0140707677437603,76.51790440684552,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0161238468046156,,,,,4,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9484690189116184
DRL-UA-inspired,222.7340226753936,14969.220205256848,260,57.573923866372496,7135576.0,2415264.0,66.15180049935702,0.0140707677437603,74.85789840612543,0,0,152,12,96,0,58.46153846153846,4.615384615384615,36.92307692307692,0.0,30.779794743149864,30.779794743149864,0.0,0.06222576865604,,,,,4,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.976420111328649
QoS-Multihop-projected,223.60259303569336,14981.414949676564,260,57.62082672952525,7135576.0,2618664.0,63.301294807875365,0.0140707677437603,74.85789840612543,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0187338459699486,,,,,4,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9802277450152936
DelayCost-adapted,216.35801794138064,14981.414949676564,260,57.62082672952525,7135576.0,2626888.0,63.186041323083096,0.0140707677437603,76.51790440684552,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0149834614533644,,,,,4,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9484690189116184
Heuristic-TVD,228.11289944889768,14912.52113566103,260,57.35585052177319,7135576.0,2714016.0,61.9650046471371,0.0140707677437603,55.58383824149408,0,0,150,16,94,0,57.69230769230769,6.153846153846154,36.15384615384615,0.0,87.4788643389673,87.4788643389673,0.0,0.0148880771191145,,,,,4,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,1.0
Deadline-Energy,209.85655013339183,5749.107878750984,260,22.11195337981148,7128992.0,5482544.0,23.09510236510295,4.735826064288934,53.48855633962679,0,0,60,0,200,0,23.07692307692308,0.0,76.92307692307692,0.0,9250.89212124898,9250.89212124898,0.0,0.0108434611600107,,,,,5,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.8993678915404049
Energy-WSRPT,233.3378274718252,14947.680484752593,260,57.49107878750997,7128992.0,2690792.0,62.25564567894031,0.0140707677437603,62.82609933013621,0,0,156,0,104,0,60.0,0.0,40.0,0.0,52.31951524740708,52.31951524740708,0.0,0.0132965370609711,,,,,5,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.999999998935284
ActiveInf-inspired,225.2144989065576,14981.414949676564,260,57.62082672952525,7128992.0,2714680.0,61.920563243723656,0.0140707677437603,67.15528144832533,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0307150004888311,,,,,5,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9651864042231304
LEO-DRL-inspired,224.46351592971635,14981.414949676564,260,57.62082672952525,7128992.0,2709440.0,61.99406592124104,0.0140707677437603,67.15528144832533,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0596603839837301,,,,,5,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9619679677433772
Hierarchical-RA-inspired,225.2144989065576,14981.414949676564,260,57.62082672952525,7128992.0,2714680.0,61.920563243723656,0.0140707677437603,67.15528144832533,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0164673068166638,,,,,5,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9651864042231304
DRL-UA-inspired,231.63826933815545,14992.18480992869,260,57.6622492689565,7128992.0,2580016.0,63.80952594700625,0.0140707677437603,61.2881020720347,0,0,154,7,99,0,59.23076923076923,2.6923076923076925,38.07692307692308,0.0,7.815190071307569,7.815190071307569,0.0,0.0654300012124272,,,,,5,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.992716318658174
