policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,tasks,windows,requested_windows,wall_s,decisions_per_s
Heuristic-TVD,2867.121582472462,149674.29727077324,693,215.98022694195274,556374855379.8488,8525361525.321454,98.46769467690969,1177.0516702270345,1817.451645965665,0,0,160,9,831,0,16.0,0.8999999999999999,83.1,0.0,325.70272922662843,325.70272922662843,0.0,0.01416409999364987,,,,,6,1000,16,16,1.6740126000076998,597.3670687994824
Heuristic-TVD,2733.0368166868893,149667.71501663994,686,218.17451168606405,558487855061.7897,8525361525.320917,98.47349204677374,1183.4087887296166,1844.0346245775947,0,0,166,6,828,0,16.6,0.6,82.8,0.0,332.2849833600244,332.2849833600244,0.0,0.014460299804341048,,,,,7,1000,16,16,1.6607858999923337,602.1245724717534
Heuristic-TVD,2961.2406705567514,149999.69915712002,699,214.59184428772534,572797942774.1393,8599836538.186266,98.49862649706176,1197.2179638154028,1791.8554966618938,0,0,167,6,827,0,16.7,0.6,82.69999999999999,0.0,0.3008428799162175,0.3008428799162175,0.0,0.011034099938115105,,,,,8,1000,16,16,1.6582665999885648,603.039342411465
Heuristic-TVD,2834.501690490382,149988.66119109333,687,218.32410653725375,564774544268.7347,8463005435.230676,98.50152498530392,1167.8450293518067,1807.08288430595,0,0,164,5,831,0,16.400000000000002,0.5,83.1,0.0,11.338808906667737,11.338808906667737,0.0,0.010644300346029922,,,,,9,1000,16,16,1.6234585999918636,615.9688950522125
Heuristic-TVD,3189.826204111071,149969.25953605332,706,212.42104750149196,535363543866.57477,34560924292.9082,93.54440086762396,1069.2454986980447,1695.5563044336952,0,0,164,13,823,0,16.400000000000002,1.3,82.3,0.0,30.740463946618547,30.740463946618547,0.0,0.021483599819475785,,,,,0,1000,64,64,1.639995799981989,609.7576591421652
Heuristic-TVD,3189.8589407068516,149721.69258069323,720,207.94679525096282,549152281980.975,34631695621.54599,93.69360799219155,1065.6188656709,1734.984333141175,0,0,168,8,824,0,16.8,0.8,82.39999999999999,0.0,278.3074193067429,278.3074193067429,0.0,0.021019200183218345,,,,,1,1000,64,64,1.6217395999992732,616.621805375196
Heuristic-TVD,3360.333598022766,149829.85725002663,712,210.43519276689133,562850643861.9725,34724098936.83865,93.83067260995192,1094.998917458528,1751.9460377205332,0,0,167,14,819,0,16.7,1.4000000000000001,81.89999999999999,0.0,170.14274997336625,170.14274997336625,0.0,0.0210449006408453,,,,,2,1000,64,64,1.6341505000018515,611.9387412596741
Heuristic-TVD,2935.045836520199,149867.53489327992,712,210.48811080516845,567443563442.1177,35609043425.37648,93.7246546230304,1133.1811145789245,1757.2766639221927,0,0,160,11,829,0,16.0,1.0999999999999999,82.89999999999999,0.0,132.46510672009225,132.46510672009225,0.0,0.02172629995038733,,,,,3,1000,64,64,1.647813599993242,606.8647570356873
Heuristic-TVD,3093.742577224467,149915.89851861328,717,209.0877245726824,553355858907.4393,34956255474.78192,93.68286159582723,1064.4434734303509,1696.316827237911,0,0,173,12,815,0,17.299999999999997,1.2,81.5,0.0,84.10148138666952,84.10148138666952,0.0,0.021088800014695153,,,,,4,1000,64,64,1.6360978999873623,611.2103682840277
Heuristic-TVD,3180.8717242454295,149977.9596308799,708,211.8332763148021,575906667212.6571,35192558629.5052,93.88919062183558,1105.2585979474584,1763.0454590385755,0,0,166,13,821,0,16.6,1.3,82.1,0.0,22.040369120023,22.040369120023,0.0,0.021110099565703422,,,,,5,1000,64,64,1.6083840999926906,621.7420328916113
