policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,decode_mean_est,normalized_value
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.014553460977577534,,,,,4,known,171,1.0
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.38461538461538464,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.01110000090333275,,,,,4,expected-only,171,0.999402174347888
Priority-Aware,3747.2334643115846,79116.98688778667,260,304.29610341456413,143751290598.0329,78843845988.82722,45.15259956218708,14.598307059213402,722.8285196627825,0,0,88,14,158,0,33.84615384615385,5.384615384615385,60.76923076923077,0.0,70883.01311221336,70883.01311221336,0.0,0.001418461145546574,,,,,4,expected-only,171,0.9709904938617735
Heuristic-TVD,3859.1865605277762,149622.96181791998,259,577.6948332738223,143751290598.0329,41511176989.94883,71.12291874580438,1.079645548510598,722.8285196627825,0,2,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,377.0381820800403,377.0381820800403,0.0,0.013972693033373127,,,,,4,expected-only,171,1.0
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.38461538461538464,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.010498462898585085,,,,,4,noisy-estimate,171,0.9801066678024375
Priority-Aware,3747.2334643115846,79116.98688778667,260,304.29610341456413,143751290598.0329,78843845988.82722,45.15259956218708,14.598307059213402,722.8285196627825,0,0,88,14,158,0,33.84615384615385,5.384615384615385,60.76923076923077,0.0,70883.01311221336,70883.01311221336,0.0,0.0014169247991118866,,,,,4,noisy-estimate,171,0.9522435330178017
Heuristic-TVD,3935.162943492032,149544.9697194133,260,575.1729604592819,143751290598.0329,41775275049.71334,70.93920000584329,1.0684849718715972,78.0157973414595,0,1,167,1,92,0,64.23076923076923,0.38461538461538464,35.38461538461539,0.0,455.0302805866979,455.0302805866979,0.0,0.013064615352330012,,,,,4,noisy-estimate,171,1.0
Deadline-Energy,3863.424194924447,28501.445238560016,260,109.62094322523083,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.38461538461538464,69.23076923076923,0.0,121498.55476144011,121498.55476144011,0.0,0.00953076859542097,,,,,4,cap-64,171,0.8809817815412985
Priority-Aware,3755.4385690539893,31959.11166026668,260,122.91966023179492,143751290598.0329,78843845988.82722,45.15259956218708,14.598307059213402,722.8285196627825,0,0,88,14,158,0,33.84615384615385,5.384615384615385,60.76923076923077,0.0,118040.88833973368,118040.88833973368,0.0,0.0014249999926855357,,,,,4,cap-64,171,0.8563576749818405
Heuristic-TVD,4385.362190084447,97659.54618368011,260,375.6136391680004,143751290598.0329,0.0,100.0,0.582986601118076,1.2475442000585735,0,0,260,0,0,0,100.0,0.0,0.0,0.0,52340.45381631983,52340.45381631983,0.0,0.013891539352838524,,,,,4,cap-64,171,1.0
