policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,contact_model,window_count,capacity_gbit,normalized_value
Heuristic-TVD,3979.4010715236373,149459.51245695996,257,581.5545231788325,143551818802.25815,48721544365.42237,66.05996024854548,0.9583279317566242,67.84449887468308,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,540.4875430400141,540.4875430400141,0.0,0.013906538347677829,,,,,2,tle-derived,25,188.74183308892847,1.0
All-Downlink,2523.31517969433,0.0,255,0.0,145714942829.99643,141823142641.82233,2.670831221966452,40.634583839711894,79.65998313243796,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002665382523376208,,,,,3,fixed-window,16,296.4693387431484,0.6330957870596586
All-On-Board,2622.849838318015,149676.17291999998,158,947.3175501265822,145714942829.99643,0.0,100.0,1.1894509169151812,1204.4435298936867,0,102,158,0,0,102,60.76923076923077,0.0,0.0,39.23076923076923,323.82708000001776,323.82708000001776,0.0,0.0003446144266770436,,,,,3,fixed-window,16,296.4693387431484,0.6580688754586711
Fixed-Threshold,3266.09456742782,110267.08696949345,257,429.0548131108695,145714942829.99643,53173078967.439766,63.50883585805194,4.809570752939726,78.33749969722065,0,0,109,78,73,0,41.92307692307692,30.0,28.076923076923077,0.0,39732.913030506636,39732.913030506636,0.0,0.0009942310638367557,,,,,3,fixed-window,16,296.4693387431484,0.8194579604706674
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.157322764350077,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,78302.47292479995,78302.47292479995,0.0,0.009670384371509919,,,,,3,fixed-window,16,296.4693387431484,0.9646914194077069
Priority-Aware,3776.5955203922576,77461.86944597335,260,297.9302670998975,145714942829.99643,96411603040.62616,33.83547276060204,16.769847643845956,78.1803292091174,0,0,81,12,167,0,31.153846153846153,4.615384615384615,64.23076923076923,0.0,72538.1305540266,72538.1305540266,0.0,0.0012973076081834733,,,,,3,fixed-window,16,296.4693387431484,0.9475418420295608
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.014100769588437218,,,,,3,fixed-window,16,296.4693387431484,1.0
All-Downlink,2323.235458112223,0.0,259,0.0,145714942829.99643,145414382268.13843,0.20626612207415018,57.83691237360908,110.71296939888822,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002719223490343071,,,,,3,tle-derived,25,188.74183308892847,0.5652707566298191
All-On-Board,2622.849838318015,149676.17291999998,158,947.3175501265822,145714942829.99643,0.0,100.0,1.1894509169151812,1204.4435298936867,0,102,158,0,0,102,60.76923076923077,0.0,0.0,39.23076923076923,323.82708000001776,323.82708000001776,0.0,0.00033499908078318607,,,,,3,tle-derived,25,188.74183308892847,0.6381704908365794
Fixed-Threshold,3333.4901299578205,110267.08696949345,260,424.1041806518979,145714942829.99643,54615169831.58838,62.51917012017969,1.4220204225675843,72.38677545665138,0,0,109,78,73,0,41.92307692307692,30.0,28.076923076923077,0.0,39732.913030506636,39732.913030506636,0.0,0.0009453840903006494,,,,,3,tle-derived,25,188.74183308892847,0.8110777069106998
Deadline-Energy,3842.9507722901294,60855.477298293335,260,234.059528070359,145714942829.99643,112129696489.97528,23.048594528293908,17.416554522605608,75.3955751135382,0,0,64,1,195,0,24.615384615384617,0.38461538461538464,75.0,0.0,89144.52270170665,89144.52270170665,0.0,0.010458845757127095,,,,,3,tle-derived,25,188.74183308892847,0.9350355269236151
Priority-Aware,3815.263337585866,77461.86944597335,260,297.9302670998975,145714942829.99643,97325050293.56737,33.20860002181442,17.16617449755219,75.41658239883101,0,0,81,12,167,0,31.153846153846153,4.615384615384615,64.23076923076923,0.0,72538.1305540266,72538.1305540266,0.0,0.0019192316148501749,,,,,3,tle-derived,25,188.74183308892847,0.9282988454952354
Heuristic-TVD,4109.951613211877,148537.6642045332,260,571.2987084789739,145714942829.99643,49519593697.639496,66.0161183637746,0.9832486245364028,60.992131325081075,0,0,166,1,93,0,63.84615384615385,0.38461538461538464,35.76923076923077,0.0,1462.3357954666835,1462.3357954666835,0.0,0.014356154133565724,,,,,3,tle-derived,25,188.74183308892847,1.0
All-Downlink,2449.820990927939,0.0,259,0.0,143751290598.0329,136549823818.19585,5.009671043562514,36.22262312100996,726.9090733329451,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002596150107610111,,,,,4,fixed-window,16,296.4693387431484,0.6203201779026885
All-On-Board,2530.153665705577,149651.71670047997,153,978.1157954279737,143751290598.0329,0.0,100.0,1.2723023214839486,1154.2811964640387,0,107,153,0,0,107,58.84615384615385,0.0,0.0,41.15384615384615,348.28329952004196,348.28329952004196,0.0,0.0005084616042530307,,,,,4,fixed-window,16,296.4693387431484,0.6406612474314413
