policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,variant,normalized_value
All-Downlink,2449.820990927939,0.0,259,0.0,143751290598.0329,136549823818.19585,0.0,36.22262312100996,726.9090733329451,0,0,0.0,0.0,260.0,0.0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.000323077927952489,,,,,4,24,main,0.6203201779026885
All-On-Board,2530.153665705577,149651.71670047997,153,978.1157954279737,143751290598.0329,0.0,100.0,1.2723023214839486,1154.2811964640387,0,107,153.0,0.0,0.0,107.0,58.84615384615385,0.0,0.0,41.15384615384615,348.28329952004196,348.28329952004196,0.0,0.0004053841201731792,,,,,4,24,main,0.6406612474314413
Fixed-Threshold,3255.1282785248836,109474.61568725345,260,421.05621418174405,143751290598.0329,48784444087.374435,64.27352103190799,7.165397066344303,78.25919961500782,0,0,110.0,78.0,72.0,0.0,42.30769230769231,30.0,27.692307692307693,0.0,40525.384312746755,40525.384312746755,0.0,0.0011423081070041428,,,,,4,24,main,0.8242323664904962
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,29.231375065005615,11.325929860212394,73.14807775617477,0,0,79.0,1.0,180.0,0.0,30.384615384615383,0.38461538461538464,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.01091769260640901,,,,,4,24,main,0.976602024845582
Priority-Aware,3747.2334643115846,79116.98688778667,260,304.29610341456413,143751290598.0329,78843845988.82722,42.26001631917086,14.598307059213402,722.8285196627825,0,0,88.0,14.0,158.0,0.0,33.84615384615385,5.384615384615385,60.76923076923077,0.0,70883.01311221336,70883.01311221336,0.0,0.0016573078867692787,,,,,4,24,main,0.9488385224196342
Energy-WSRPT,3385.3319243306705,149904.75896778662,259,578.7828531574773,143751290598.0329,45158969510.27501,66.9285772419595,1.1445659766542424,726.9090733329451,0,0,153.0,12.0,95.0,0.0,58.84615384615385,4.615384615384615,36.53846153846154,0.0,95.24103221335204,95.24103221335204,0.0,0.014491539108208738,,,,,4,24,main,0.8572012850477788
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,71.08028624225618,1.0777419947470057,722.8285196627825,0,0,167.0,0.0,93.0,0.0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.013858076552144038,,,,,4,24,main,1.0
MILP-Ref,3026.6536329109545,,260,,143751290598.0329,,,,,0,0,,,,,,,,,,,,,,,,,4,24,main,0.7663802077661142
All-Downlink,2624.3317650948316,0.0,259,0.0,145966253614.7567,142154292336.35153,0.0,32.73609921005294,77.76358537846562,0,0,0.0,0.0,260.0,0.0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003092311089858413,,,,,5,24,main,0.6665479805185078
All-On-Board,2454.6520370557223,149928.29939221338,153,979.9235254393031,145966253614.7567,0.0,100.0,1.1894509169151812,1280.093058700196,0,107,153.0,0.0,0.0,107.0,58.84615384615385,0.0,0.0,41.15384615384615,71.70060778667579,71.70060778667579,0.0,0.0003850000211969018,,,,,5,24,main,0.6234514172090625
