policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,profile_label,profile_source,memory_gb,quant_used,normalized_value
Deadline-Energy,3736.392823105972,55724.94501317332,260,214.32671158912814,145966253614.7567,115042162606.88376,21.185781125471483,16.026909080403055,71.36271956499577,0,0,59,1,200,0,22.692307692307693,0.38461538461538464,76.92307692307693,0.0,94275.05498682667,94275.05498682667,0.0,0.009570382826495916,,,,,5,RTX4090 measured,measured,16,INT4,0.948997807285672
Priority-Aware,3721.6376738607496,81787.42338042668,260,314.5670130016411,145966253614.7567,97435093163.56842,33.24820583480533,16.058096002124003,74.03864247899895,0,0,85,9,166,0,32.69230769230769,3.4615384615384617,63.84615384615384,0.0,68212.57661957334,68212.57661957334,0.0,0.0013338457882547607,,,,,5,RTX4090 measured,measured,16,INT4,0.9452501809137079
Energy-WSRPT,3471.765746386301,149994.31164517338,259,579.1286163906308,145966253614.7567,45220625639.267715,69.01980799026546,0.9832486245364028,70.00163995268541,0,0,157,15,88,0,60.38461538461538,5.769230769230769,33.84615384615385,0.0,5.6883548266966955,5.6883548266966955,0.0,0.010761539138352068,,,,,5,RTX4090 measured,measured,16,INT4,0.881785785572541
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615384,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.013670383263021134,,,,,5,RTX4090 measured,measured,16,INT4,1.0
Deadline-Energy,3774.4549894033107,59623.26823472,260,229.32026244123077,136511684238.74997,94917012113.92496,30.46967910239732,14.60893868356937,73.92129724806482,0,0,66,1,193,0,25.384615384615383,0.38461538461538464,74.23076923076923,0.0,90376.73176528004,90376.73176528004,0.0,0.009746153843410026,,,,,6,RTX4090 measured,measured,16,INT4,0.954223681049816
Priority-Aware,3607.574591128856,72969.55644367999,260,280.65214016799996,136511684238.74997,79932607445.38664,41.446325352202265,21.359685439153196,77.95723821033201,0,0,77,17,166,0,29.615384615384617,6.538461538461539,63.84615384615384,0.0,77030.44355632007,77030.44355632007,0.0,0.0013873087412391144,,,,,6,RTX4090 measured,measured,16,INT4,0.9120344833024391
Energy-WSRPT,3450.5182428618828,149852.43026117323,257,583.083386230246,136511684238.74997,40142368011.44429,70.59418888918114,1.1121057625823823,110.72537450054526,0,0,152,23,85,0,58.46153846153847,8.846153846153847,32.69230769230769,0.0,147.56973882662228,147.56973882662228,0.0,0.012128461094107479,,,,,6,RTX4090 measured,measured,16,INT4,0.8723289133072211
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615384,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.014180384795718756,,,,,6,RTX4090 measured,measured,16,INT4,1.0
Deadline-Energy,3883.0840761585364,71262.57109365333,260,274.08681189866667,139247165035.33093,99881808965.40207,28.270131072284855,11.838968943251544,68.4461327724551,0,0,71,0,189,0,27.307692307692307,0.0,72.6923076923077,0.0,78737.42890634667,78737.42890634667,0.0,0.009308077838236036,,,,,7,RTX4090 measured,measured,16,INT4,0.9456882004482678
Priority-Aware,3909.780591382479,101200.58414975999,260,389.2330159606154,139247165035.33093,77464709916.8403,44.36891415549802,9.247300119530852,72.90775365767003,0,0,101,16,143,0,38.84615384615385,6.153846153846154,55.00000000000001,0.0,48799.41585024003,48799.41585024003,0.0,0.001508846001413006,,,,,7,RTX4090 measured,measured,16,INT4,0.9521898828597767
Energy-WSRPT,3507.6946827679367,149740.9884856531,254,589.5314507309178,139247165035.33093,44480995043.98906,68.05608571441797,1.000107804039059,66.51159414699696,0,0,155,26,79,0,59.61538461538461,10.0,30.384615384615383,0.0,259.0115143466953,259.0115143466953,0.0,0.012217307028969606,,,,,7,RTX4090 measured,measured,16,INT4,0.8542656834642628
Heuristic-TVD,4106.0933977159775,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260437,59.41933453479224,0,0,169,1,90,0,65.0,0.38461538461538464,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.014055385411036415,,,,,7,RTX4090 measured,measured,16,INT4,1.0
Deadline-Energy,3807.586330320566,73051.95887727995,260,280.96907260492287,147675122448.8456,107986139264.03853,26.87587626585871,10.647973555536677,74.23923498141562,0,0,72,1,187,0,27.692307692307693,0.38461538461538464,71.92307692307692,0.0,76948.04112272005,76948.04112272005,0.0,0.010293461561489563,,,,,8,RTX4090 measured,measured,16,INT4,0.9920789887534683
Priority-Aware,3757.5334994027057,87253.41095210667,259,336.88575657184043,147675122448.8456,91277240214.14523,38.19050988377308,11.816140087959745,78.44504524348606,0,0,85,8,167,0,32.69230769230769,3.076923076923077,64.23076923076924,0.0,62746.589047893365,62746.589047893365,0.0,0.0013661536146313525,,,,,8,RTX4090 measured,measured,16,INT4,0.9790375610422131
Energy-WSRPT,3335.145916001523,149805.56215354672,256,585.1779771622919,147675122448.8456,43717117103.24272,70.39642400270483,1.079645548510545,78.66929020213107,0,0,150,27,83,0,57.692307692307686,10.384615384615385,31.92307692307692,0.0,194.43784645337144,194.43784645337144,0.0,0.012576539190306973,,,,,8,RTX4090 measured,measured,16,INT4,0.868983103900755
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.012897691899874749,,,,,8,RTX4090 measured,measured,16,INT4,1.0
