policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,beta,lambda_energy,lambda_bandwidth,epsilon,is_default,normalized_value
Heuristic-TVD,3721.6187662265843,149643.34874858664,255,586.8366617591632,145714942829.99643,51086046854.130486,64.94110633956612,1.079645548510598,77.65385075632592,0,0,160,2,98,0,61.53846153846154,0.7692307692307693,37.69230769230769,0.0,356.651251413351,356.651251413351,0.0,0.013079615578485223,,,,,3,0.0,2.0,0.45,0.015,0,0.9337482613747975
Heuristic-TVD,3453.006065445185,149815.46082165328,259,578.438072670476,143751290598.0329,48137461372.790504,66.51337099477198,1.2231146221108853,726.9090733329451,0,0,154,2,104,0,59.23076923076923,0.7692307692307693,40.0,0.0,184.53917834670892,184.53917834670892,0.0,0.013904999202797906,,,,,4,0.0,2.0,0.45,0.015,0,0.8743370820758165
Heuristic-TVD,3496.3266992525228,149926.59370944,259,578.867157179305,145966253614.7567,50354084576.73675,65.50292733439991,1.1445659766542349,70.13461928755096,0,0,156,4,100,0,60.0,1.5384615384615385,38.46153846153846,0.0,73.40629056000967,73.40629056000967,0.0,0.01426846149395435,,,,,5,0.0,2.0,0.45,0.015,0,0.8852599231227382
Heuristic-TVD,3602.5178247855056,149907.82057626662,257,583.2989127481192,136511684238.74997,47454278482.1963,65.23793641048199,1.1894509169151812,110.72537450054526,0,0,153,3,104,0,58.84615384615385,1.1538461538461537,40.0,0.0,92.17942373333608,92.17942373333608,0.0,0.013593460719745893,,,,,6,0.0,2.0,0.45,0.015,0,0.9107560772258247
Heuristic-TVD,3734.6658040812385,149790.05638794656,254,589.7246314486085,139247165035.33093,56847051848.289116,59.1754332421307,1.1894509169151812,69.26924140178392,0,0,156,0,104,0,60.0,0.0,40.0,0.0,209.94361205336645,209.94361205336645,0.0,0.0129588467713732,,,,,7,0.0,2.0,0.45,0.015,0,0.9095423416716857
Heuristic-TVD,3501.6827261257345,149940.68692799992,256,585.7058083124997,147675122448.8456,55846019674.89438,62.183190540952936,1.2567783273065893,79.33171732849058,0,0,152,0,108,0,58.46153846153846,0.0,41.53846153846154,0.0,59.31307199992051,59.31307199992051,0.0,0.013204230456792105,,,,,8,0.0,2.0,0.45,0.015,0,0.9123748108366148
Heuristic-TVD,3553.8380358005224,149688.83097690658,256,584.7219960035413,145047080871.27374,47773487761.17446,67.06346141252409,1.0796455485105754,79.09861167966864,0,0,160,3,97,0,61.53846153846154,1.1538461538461537,37.30769230769231,0.0,311.16902309329566,311.16902309329566,0.0,0.012695001183041872,,,,,9,0.0,2.0,0.45,0.015,0,0.8837279436173896
Heuristic-TVD,3383.2236202961935,149757.95631098666,254,589.5982531928609,141896346105.7374,44658518612.566124,68.5273653351949,1.1894509169151812,736.9298172144859,0,0,152,3,105,0,58.46153846153846,1.1538461538461537,40.38461538461539,0.0,242.04368901333783,242.04368901333783,0.0,0.012706152875370417,,,,,0,0.0,2.0,0.9,0.015,0,0.8714051004123242
Heuristic-TVD,3631.2729708214993,149948.73988490662,257,583.4581318478857,138183152908.2682,43288467486.07565,68.67312217516678,1.1121057625823898,111.78914483510077,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,51.260115093307604,51.260115093307604,0.0,0.012788461418285105,,,,,1,0.0,2.0,0.9,0.015,0,0.9191018582570276
Heuristic-TVD,3503.876401087591,149988.82686965325,253,592.8412129235306,143551818802.25815,46598836653.9086,67.53866510176493,1.0218073941260324,754.0107986472566,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,11.173130346692119,11.173130346692119,0.0,0.01205999903434601,,,,,2,0.0,2.0,0.9,0.015,0,0.9142252131722919
Heuristic-TVD,3713.366497443318,149986.93886234664,255,588.1840739699868,145714942829.99643,51706100937.53558,64.51558094638217,1.079645548510598,77.65385075632592,0,0,160,1,99,0,61.53846153846154,0.38461538461538464,38.07692307692308,0.0,13.061137653351068,13.061137653351068,0.0,0.011309999703931121,,,,,3,0.0,2.0,0.9,0.015,0,0.9316777801909913
Heuristic-TVD,3450.6953766408656,149776.3801276266,259,578.2871819599483,143751290598.0329,46578692913.83577,67.5977219264888,1.1894509169151812,726.9090733329451,0,0,155,3,102,0,59.61538461538461,1.1538461538461537,39.23076923076923,0.0,223.6198723733753,223.6198723733753,0.0,0.013133077076278053,,,,,4,0.0,2.0,0.9,0.015,0,0.8737519916159497
Heuristic-TVD,3458.499318970162,149928.29939221338,259,578.8737428270787,145966253614.7567,52843940095.84344,63.79715256972172,1.1894509169151757,70.00163995268541,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,71.70060778667579,71.70060778667579,0.0,0.014634614434236517,,,,,5,0.0,2.0,0.9,0.015,0,0.87568213859595
Heuristic-TVD,3565.0572942400668,149815.0214694933,257,582.9378267295459,136511684238.74997,49815961617.0329,63.5079137036299,1.2567783273065893,110.72537450054526,0,0,150,1,109,0,57.69230769230769,0.38461538461538464,41.92307692307692,0.0,184.97853050666959,184.97853050666959,0.0,0.013743461078355232,,,,,6,0.0,2.0,0.9,0.015,0,0.9012856436264036
Heuristic-TVD,3717.7728597983973,149632.2820278932,254,589.1034725507607,139247165035.33093,54507565223.58425,60.85552965494547,1.167008446784708,67.62108564637367,0,0,156,1,103,0,60.0,0.38461538461538464,39.61538461538461,0.0,367.7179721066997,367.7179721066997,0.0,0.013223078545147123,,,,,7,0.0,2.0,0.9,0.015,0,0.9054282257355412
Heuristic-TVD,3485.050981435025,149976.4095279999,256,585.8453497187496,147675122448.8456,54914530102.92617,62.813960000643675,1.2567783273065893,79.33171732849058,0,0,152,2,106,0,58.46153846153846,0.7692307692307693,40.76923076923077,0.0,23.590471999920453,23.590471999920453,0.0,0.013341538187188026,,,,,8,0.0,2.0,0.9,0.015,0,0.9080413557229192
Heuristic-TVD,3501.842063005471,149908.05655797326,256,585.5783459295831,145047080871.27374,49100161367.155426,66.14881108105112,1.133733771369513,79.09861167966864,0,0,158,2,100,0,60.76923076923077,0.7692307692307693,38.46153846153846,0.0,91.94344202662865,91.94344202662865,0.0,0.0137857683092499,,,,,9,0.0,2.0,0.9,0.015,0,0.870798177642783
Heuristic-TVD,3649.9632399794828,149844.53741909342,254,589.9391236972182,141896346105.7374,43904084033.8738,69.05904539560332,1.144565976654216,736.9298172144859,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,155.46258090667698,155.46258090667698,0.0,0.01346923012393885,,,,,0,0.0,4.0,0.2,0.015,0,0.9401082933315413
