policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,rho,eta,eta_model,normalized_value
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.010951539801541142,,,,,5,No PRE,0.1,0.6923024947075771,nominal,1.0
Heuristic-TVD,3447.8537855966474,91889.29764095992,260,353.4203755421535,136511684238.74997,6920804551.027004,94.93024748055781,1.1894509169151812,67.7883897586873,0,0,116,144,0,0,44.61538461538461,55.38461538461539,0.0,0.0,58110.702359039904,58110.702359039904,0.0,0.015593461844568642,,,,,6,PRE,0.1,0.6923024947075771,nominal,0.8716553092433839
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.010455769818061246,,,,,6,No PRE,0.1,0.6923024947075771,nominal,1.0
Heuristic-TVD,3537.889599468127,100793.66761493358,260,387.66795236512917,139247165035.33093,7622084616.753001,94.5262191766568,1.167008446784712,63.87157487038208,0,0,116,144,0,0,44.61538461538461,55.38461538461539,0.0,0.0,49206.33238506653,49206.33238506653,0.0,0.01346884617725244,,,,,7,PRE,0.1,0.6923024947075771,nominal,0.8604032396992922
Heuristic-TVD,4111.897115478791,149670.5285704532,258,580.1183277924542,139247165035.33093,48006134866.0227,65.5245154514692,1.021807394126055,61.38957043915382,0,0,169,0,91,0,65.0,0.0,35.0,0.0,329.4714295466986,329.4714295466986,0.0,0.010234230229308685,,,,,7,No PRE,0.1,0.6923024947075771,nominal,1.0
Heuristic-TVD,3334.717268502486,90134.31737765325,260,346.6704514525125,147675122448.8456,8835983163.841043,94.01660684798023,1.2844065685066806,68.91748123652475,0,0,109,151,0,0,41.92307692307692,58.07692307692308,0.0,0.0,59865.68262234639,59865.68262234639,0.0,0.014105001285385627,,,,,8,PRE,0.1,0.6923024947075771,nominal,0.8688714184022569
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.010044616982878115,,,,,8,No PRE,0.1,0.6923024947075771,nominal,1.0
Heuristic-TVD,3610.7281918098092,95114.09212938666,260,365.82343126687175,145047080871.27374,7171367696.650564,95.05583452381575,1.0218073941260437,59.96222411210969,0,0,124,136,0,0,47.69230769230769,52.30769230769231,0.0,0.0,54885.90787061303,54885.90787061303,0.0,0.01451961557345035,,,,,9,PRE,0.1,0.6923024947075771,nominal,0.8963636486006765
Heuristic-TVD,4028.1956965195523,149522.0178698665,257,581.7977349022043,145047080871.27374,41111842808.23144,71.65620806618139,0.9832486245364028,70.43976702267629,0,0,172,0,88,0,66.15384615384616,0.0,33.84615384615385,0.0,477.9821301333002,477.9821301333002,0.0,0.013112307799299462,,,,,9,No PRE,0.1,0.6923024947075771,nominal,1.0
Heuristic-TVD,3522.512622216192,87442.30907626651,260,336.3165733702558,141896346105.7374,7581487455.67616,94.6570241843813,1.1445659766541212,64.75582881944179,0,0,114,146,0,0,43.84615384615385,56.15384615384615,0.0,0.0,62557.690923733215,62557.690923733215,0.0,0.015344614579449765,,,,,0,PRE,0.1,0.7606797181058933,optimistic,0.9072812825175445
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.01092192363173056,,,,,0,No PRE,0.1,0.7606797181058933,optimistic,1.0
Heuristic-TVD,3570.5419060315785,91758.18245008001,260,352.9160863464616,138183152908.2682,8025295712.5294895,94.19227630602913,1.1894509169151812,65.91267038260243,0,0,111,149,0,0,42.69230769230769,57.30769230769231,0.0,0.0,58241.817549919564,58241.817549919564,0.0,0.013918845574013315,,,,,1,PRE,0.1,0.7606797181058933,optimistic,0.9037303797284618
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.01040961450109115,,,,,1,No PRE,0.1,0.7606797181058933,optimistic,1.0
Heuristic-TVD,3545.028447969345,98050.84754229328,260,377.1186443934357,143551818802.25815,7709360656.982725,94.62956253615823,1.1445659766541667,61.74964297693923,0,0,116,144,0,0,44.61538461538461,55.38461538461539,0.0,0.0,51949.15245770657,51949.15245770657,0.0,0.014697692621176919,,,,,2,PRE,0.1,0.7606797181058933,optimistic,0.9249625322230637
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.011299999291972758,,,,,2,No PRE,0.1,0.7606797181058933,optimistic,1.0
Heuristic-TVD,3554.095733948194,93679.23245589348,260,360.3047402149749,145714942829.99643,8484798401.525054,94.17712539514623,1.2645403243953146,68.72213534952276,0,0,108,152,0,0,41.53846153846154,58.46153846153846,0.0,0.0,56320.76754410631,56320.76754410631,0.0,0.017420384840359196,,,,,3,PRE,0.1,0.7606797181058933,optimistic,0.8917169975737547
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.012932308107757797,,,,,3,No PRE,0.1,0.7606797181058933,optimistic,1.0
Heuristic-TVD,3581.7374581088075,94180.8601560533,260,362.23407752328194,143751290598.0329,7423064202.137336,94.83617561188079,1.264540324395269,62.91515605389325,0,0,118,142,0,0,45.38461538461539,54.61538461538461,0.0,0.0,55819.139843946614,55819.139843946614,0.0,0.014264614863070445,,,,,4,PRE,0.1,0.7606797181058933,optimistic,0.9069332108111294
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.01035115542785766,,,,,4,No PRE,0.1,0.7606797181058933,optimistic,1.0
Heuristic-TVD,3475.8410999269813,78527.1902941865,260,302.0276549776404,145966253614.7567,9490595916.760683,93.49808898856247,1.491397328478706,67.16268038103375,0,0,100,160,0,0,38.46153846153846,61.53846153846154,0.0,0.0,71472.80970581314,71472.80970581314,0.0,0.014669616043997498,,,,,5,PRE,0.1,0.7606797181058933,optimistic,0.8828208752317713
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.010220769259971209,,,,,5,No PRE,0.1,0.7606797181058933,optimistic,1.0
