seed,policy,task_count,oracle_value,policy_value,optimality_gap_pct,oom_count,energy_violation_count,mean_decision_ms
3,Deadline-Energy,8,154.3275484362003,142.83611639921284,7.44613139613117,0,0,0.0068249973992351
3,Energy-WSRPT,8,154.3275484362003,141.98147997752346,7.999912254020381,0,0,0.0099750031949952
3,ActiveInf-inspired,8,154.3275484362003,154.29061319541927,0.0239330185409437,0,0,0.0298999984806869
3,LEO-DRL-inspired,8,154.3275484362003,154.29061319541927,0.0239330185409437,0,0,0.0575500016566365
3,Hierarchical-RA-inspired,8,154.3275484362003,154.29061319541927,0.0239330185409437,0,0,0.0161499956448096
3,DRL-UA-inspired,8,154.3275484362003,144.28123114918276,6.50973684790355,0,0,0.0703249934304039
3,QoS-Multihop-projected,8,154.3275484362003,154.3275484362003,0.0,0,0,0.0142625031003262
3,DelayCost-adapted,8,154.3275484362003,154.29061319541927,0.0239330185409437,0,0,0.0147999999171588
3,Heuristic-TVD,8,154.3275484362003,154.29061319541927,0.0239330185409437,0,0,0.0114249996840953
4,Deadline-Energy,8,144.71106631289024,138.27431992316068,4.447998728592193,0,0,0.0071124995884019
4,Energy-WSRPT,8,144.71106631289024,128.89426588887167,10.92991768149916,0,0,0.0092625014076475
4,ActiveInf-inspired,8,144.71106631289024,144.51392139663167,0.1362334763205354,0,0,0.0271749995590653
4,LEO-DRL-inspired,8,144.71106631289024,144.51392139663167,0.1362334763205354,0,0,0.0535625003976747
4,Hierarchical-RA-inspired,8,144.71106631289024,144.51392139663167,0.1362334763205354,0,0,0.0141749951581005
4,DRL-UA-inspired,8,144.71106631289024,144.51392139663167,0.1362334763205354,0,0,0.058137495216215
4,QoS-Multihop-projected,8,144.71106631289024,144.71106631289024,0.0,0,0,0.0147499995364341
4,DelayCost-adapted,8,144.71106631289024,144.51392139663167,0.1362334763205354,0,0,0.0123999998322688
4,Heuristic-TVD,8,144.71106631289024,144.51392139663167,0.1362334763205354,0,0,0.011037500371458
5,Deadline-Energy,8,111.60434455610452,94.99666680144315,14.880852372474196,0,0,0.0067750006564892
5,Energy-WSRPT,8,111.60434455610452,111.60434455610452,0.0,0,0,0.0099999924714211
5,ActiveInf-inspired,8,111.60434455610452,111.60434455610452,0.0,0,0,0.0273500008916016
5,LEO-DRL-inspired,8,111.60434455610452,111.60434455610452,0.0,0,0,0.0581375061301514
5,Hierarchical-RA-inspired,8,111.60434455610452,111.60434455610452,0.0,0,0,0.0144250006997026
5,DRL-UA-inspired,8,111.60434455610452,111.60434455610452,0.0,0,0,0.0556374980078544
5,QoS-Multihop-projected,8,111.60434455610452,111.60434455610452,0.0,0,0,0.0136000016937032
5,DelayCost-adapted,8,111.60434455610452,111.60434455610452,0.0,0,0,0.0201000038941856
5,Heuristic-TVD,8,111.60434455610452,111.60434455610452,0.0,0,0,0.0112874986371025
6,Deadline-Energy,8,115.41943822928948,105.72988013206846,8.395083398319759,0,0,0.0069999950937926
6,Energy-WSRPT,8,115.41943822928948,108.53403628927823,5.965547957643722,0,0,0.0099625067377928
6,ActiveInf-inspired,8,115.41943822928948,115.41391884078044,0.004782026835085,0,0,0.025474997528363
6,LEO-DRL-inspired,8,115.41943822928948,115.41391884078044,0.004782026835085,0,0,0.0543249989277683
6,Hierarchical-RA-inspired,8,115.41943822928948,115.41391884078044,0.004782026835085,0,0,0.0160624949785415
6,DRL-UA-inspired,8,115.41943822928948,115.41391884078044,0.004782026835085,0,0,0.0528625023434869
6,QoS-Multihop-projected,8,115.41943822928948,115.41943822928948,0.0,0,0,0.0142624994623474
6,DelayCost-adapted,8,115.41943822928948,115.41391884078044,0.004782026835085,0,0,0.0121249977382831
6,Heuristic-TVD,8,115.41943822928948,115.41391884078044,0.004782026835085,0,0,0.0108249987533781
7,Deadline-Energy,8,134.3325267783899,124.9690337131486,6.970384083289365,0,0,0.0070875030360184
7,Energy-WSRPT,8,134.3325267783899,128.507344395177,4.3363900932369,0,0,0.0096125113486777
7,ActiveInf-inspired,8,134.3325267783899,134.32367622438406,0.0065885412997904,0,0,0.0264875016000587
7,LEO-DRL-inspired,8,134.3325267783899,134.32367622438406,0.0065885412997904,0,0,0.0550374970771372
7,Hierarchical-RA-inspired,8,134.3325267783899,134.32367622438406,0.0065885412997904,0,0,0.0139500043587759
7,DRL-UA-inspired,8,134.3325267783899,134.3325267783899,0.0,0,0,0.0533124984940514
7,QoS-Multihop-projected,8,134.3325267783899,134.3325267783899,0.0,0,0,0.0136749949888326
7,DelayCost-adapted,8,134.3325267783899,134.32367622438406,0.0065885412997904,0,0,0.0122374985949136
7,Heuristic-TVD,8,134.3325267783899,134.32367622438406,0.0065885412997904,0,0,0.0106999941635876
8,Deadline-Energy,8,138.87694296270948,131.68999654553795,5.175046529574984,0,0,0.007312493835343
8,Energy-WSRPT,8,138.87694296270948,138.87694296270948,0.0,0,0,0.0097625015769153
8,ActiveInf-inspired,8,138.87694296270948,138.87694296270948,0.0,0,0,0.0271249955403618
8,LEO-DRL-inspired,8,138.87694296270948,138.87694296270948,0.0,0,0,0.0559249965590424
8,Hierarchical-RA-inspired,8,138.87694296270948,138.87694296270948,0.0,0,0,0.0143249999382533
8,DRL-UA-inspired,8,138.87694296270948,138.87694296270948,0.0,0,0,0.0588375041843391
8,QoS-Multihop-projected,8,138.87694296270948,138.87694296270948,0.0,0,0,0.0145125013659708
8,DelayCost-adapted,8,138.87694296270948,138.87694296270948,0.0,0,0,0.0124625003081746
8,Heuristic-TVD,8,138.87694296270948,138.87694296270948,0.0,0,0,0.0113875030365306
9,Deadline-Energy,8,116.94182359005327,114.49752269624342,2.090185374890777,0,0,0.0068125009420327
9,Energy-WSRPT,8,116.94182359005327,110.29889953667823,5.6805374240290885,0,0,0.009587500244379
9,ActiveInf-inspired,8,116.94182359005327,116.88864992356054,0.0454701875345788,0,0,0.0279874984698835
9,LEO-DRL-inspired,8,116.94182359005327,116.88864992356054,0.0454701875345788,0,0,0.0532999983988702
9,Hierarchical-RA-inspired,8,116.94182359005327,116.88864992356054,0.0454701875345788,0,0,0.0143375000334344
9,DRL-UA-inspired,8,116.94182359005327,116.88864992356054,0.0454701875345788,0,0,0.0556124978174921
9,QoS-Multihop-projected,8,116.94182359005327,116.94182359005327,0.0,0,0,0.0152875072672031
9,DelayCost-adapted,8,116.94182359005327,116.88864992356054,0.0454701875345788,0,0,0.0120874938147608
9,Heuristic-TVD,8,116.94182359005327,116.88864992356054,0.0454701875345788,0,0,0.0107500018202699
