model,scale_b,modality,quant,image_size,context_len,prefill_tokens,decode_tokens,vision_prefill_j_per_image,prefill_j_per_tok,decode_j_per_tok,prefill_active_j_per_tok,decode_active_j_per_tok,tokens_per_sec,peak_mem_gb,gpu_power_w,idle_power_w,prefill_avg_power_w,decode_avg_power_w,prefill_active_avg_power_w,decode_active_avg_power_w,seed,sample_id,prefill_repeats,generate_repeats,run_id
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.3772673259712755,1.3772673259712755,0.08937000092521,0.5797709716670215,0.0,785.8339431495891,0.45084095001220703,70.22998022634019,51.562,68.69361334715153,70.22998022634019,28.91708981007754,29.56383492744688,0,22,8,4,vlm_4090_1783047111
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.1256947391706054,1.1256947391706054,0.013907189796042314,0.4297262966099661,0.005308974946181603,762.0000659281445,0.45168447494506836,67.78257723899057,51.562,61.909831728417146,67.78257723899057,23.63365643158331,25.875537015524685,0,23,8,4,vlm_4090_1783047112
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.4653428791483167,1.4653428791483167,0.7763700365693774,0.5593846598094098,0.24984819401549166,84.6626163201914,0.45084095001220703,80.11899845275462,51.562,80.11899845275462,74.00016932555674,30.584881758058838,24.310066376815968,0,24,8,4,vlm_4090_1783047113
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,3.0,1,2.0,1.0504604345851112,1.0504604345851112,0.9788806853321728,0.3205583912727888,0.30850267023331246,43.284302386801784,0.45168447494506836,65.10439113249411,51.562,58.018776642541816,65.10439113249411,17.70500353161237,20.290896035753548,0,25,8,4,vlm_4090_1783047113
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.4310127948585432,1.4310127948585432,0.07824723775498568,0.48443317037494865,0.0,754.457418608473,0.45084095001220703,76.70618990953469,51.562,76.70618990953469,59.03420900986994,25.966939568092393,19.984537618376503,0,26,8,4,vlm_4090_1783047113
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,2.0,1,1.0,1.0424957115377766,1.0424957115377766,0.9786144579033136,0.3529105431181379,0.3713450657428475,33.61074128275702,0.45168447494506836,67.93101100903368,51.562,59.61384501176468,67.93101100903368,20.180758719312973,24.34276789201224,0,27,8,4,vlm_4090_1783047114
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.2833853536696407,1.2833853536696407,0.0233204535695957,0.4703081348765409,0.008545990486357676,623.8375708067086,0.45084095001220703,67.9231085344457,51.562,62.795058579119626,67.9231085344457,23.011815426569882,24.89103557128096,0,28,8,4,vlm_4090_1783047114
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,3.0,1,2.0,1.4214984426756856,1.4214984426756856,0.796495688075316,0.5251749535265845,0.33857430506555847,48.160165581628746,0.45168447494506836,74.64955221570035,51.562,74.64955221570035,72.58916440940476,27.57940067937533,28.95205095422443,0,29,8,4,vlm_4090_1783047114
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.3251960378643126,1.3251960378643126,0.08605233253619324,0.5285519336769359,0.0,745.4133725527693,0.45084095001220703,69.54773234437924,51.562,69.54773234437924,64.1445594118362,27.738981526619575,25.5839362201991,0,30,8,4,vlm_4090_1783047115
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.5198955471542432,1.5198955471542432,0.08689553915625439,0.6116778685728789,0.0,804.5953872860247,0.45168447494506836,78.09871121562782,51.562,78.09871121562782,69.91574998085443,31.430615942067792,28.27704383711334,0,31,8,4,vlm_4090_1783047115
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,2.028269592327764,2.028269592327764,0.08657950692729403,0.8203225766932593,0.0,747.0028687911386,0.45084095001220703,71.40654471022405,51.562,71.40654471022405,64.6751400532109,28.879987636272563,26.010203381541064,0,32,8,4,vlm_4090_1783047115
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.2918759950776584,1.2918759950776584,0.08491130132538577,0.5044849213147535,0.0,763.3301919158824,0.45168447494506836,74.54062902693681,51.562,74.54062902693681,64.81535993653405,29.108539451687797,25.31076657679069,0,33,8,4,vlm_4090_1783047115
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.3674958670360502,1.3674958670360502,0.08587071101100494,0.5340149112674408,0.0,792.0096447778039,0.45084095001220703,73.24593305504946,51.562,73.24593305504946,68.01043132464348,28.602953313395286,26.558460120108304,0,34,8,4,vlm_4090_1783047116
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,2.0,1,1.0,1.176425180693157,1.176425180693157,1.0215829110471533,0.4831496576189529,0.4195570120413322,33.148710942166396,0.45168447494506836,72.8611348816423,51.562,65.03348829267705,72.8611348816423,26.708802325924122,29.92356245813448,0,35,8,4,vlm_4090_1783047116
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.387118833662942,1.387118833662942,0.08844330563912323,0.5696800787332468,0.0,755.8691346323055,0.45084095001220703,68.20383431295905,51.562,68.20383431295905,66.85156489746458,28.010841435058406,27.586376176805103,0,36,8,4,vlm_4090_1783047116
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,2.0,1,1.0,1.343897017958807,1.343897017958807,0.8960882405983281,0.5675195512070786,0.37841262340079995,33.35930223458929,0.45168447494506836,75.90939030457177,51.562,75.90939030457177,74.72434524123211,32.056074641408294,31.555637306166513,0,37,8,4,vlm_4090_1783047116
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.177533395923907,1.177533395923907,0.010427373937936505,0.49726520369923677,0.004000660532045485,748.5170093812407,0.45084095001220703,66.61045088738007,51.562,66.61045088738007,66.56531848662407,28.12918898408168,27.80865999981666,0,38,8,4,vlm_4090_1783047117
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.490673463814892,1.490673463814892,0.08816060488261283,0.6158885104639923,0.0,811.7858089385272,0.45168447494506836,78.4950736839137,51.562,78.4950736839137,71.56752795114173,32.431122699551985,29.56892925068683,0,39,8,4,vlm_4090_1783047117
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,2.0,1,1.0,1.5709999375166372,1.5709999375166372,0.6476061863405627,0.6490762966827025,0.27482938608969554,33.217933040721974,0.45084095001220703,85.2353612099204,51.562,85.2353612099204,73.69750966602419,35.21594831378643,30.690237106276037,0,40,8,4,vlm_4090_1783047117
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.1359907881449907,1.1359907881449907,0.013133316352466758,0.47464631815208125,0.005487439085667327,767.4396029367698,0.45168447494506836,68.19931504636807,51.562,65.03029491370306,68.19931504636807,27.17133833412176,28.495436868913107,0,41,8,4,vlm_4090_1783047117
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.6415064883269368,1.6415064883269368,0.08926897755321114,0.6858638459378853,0.0,769.8346395747178,0.45084095001220703,71.97634274170831,51.562,71.97634274170831,68.72235115987986,30.073576681190243,28.87055991302075,0,42,8,4,vlm_4090_1783047118
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.3517022154759615,1.3517022154759615,0.08936703225616366,0.5678560051834212,0.0,674.3006924202405,0.45168447494506836,70.98690773622752,51.562,70.98690773622752,60.26025172987312,29.821910022707314,25.31559497860543,0,43,8,4,vlm_4090_1783047118
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,3.0,1,2.0,1.599081339659635,1.599081339659635,0.7624717591868246,0.6717810558464844,0.3202973418006441,49.59338307689529,0.45084095001220703,85.89932817480174,51.562,85.89932817480174,77.46548076309405,36.08668298890575,32.54257639362856,0,44,8,4,vlm_4090_1783047118
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,2.0,1,1.0,1.2812999435530512,1.2812999435530512,0.9506628192218483,0.5382629899857566,0.3993652025954798,32.48118512835914,0.45168447494506836,72.49679569729543,51.562,68.04387350736374,72.49679569729543,28.584640925467873,30.45527490479991,0,45,8,4,vlm_4090_1783047119
