policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,gamma,decode_cap,early_stop_count,early_stop_rate,truncated_token_ratio,truncation_value_loss,truncation_value_loss_pct,adjusted_total_value,value_loss,value_loss_pct,mean_retention_loss_for_stopped,full_uncapped_value,normalized_value,normalized_adjusted_value
Heuristic-TVD,3818.629511658411,149864.22266372986,256,585.4071197801948,141896346105.7374,46910961323.36884,66.93997935055211,1.0706083368879566,109.75929090817864,0,0,158,1,101,0,60.76923076923077,0.3846153846153846,38.84615384615385,0.0,135.77733627004176,135.77733627004176,0.0,0.015506152927768,,,,,0,0.2,512,7,0.0440251572327044,0.0374489252087404,18.56331930368815,0.4861251725786353,3800.0661923547223,15.231834253350826,0.3992305226779998,0.1593404128482781,3815.2980266080735,0.8863310456974769,0.99600769477322
Heuristic-TVD,3815.2980266080735,149929.6343052132,255,587.9593502165224,141896346105.7374,46530049566.43928,67.2084230190351,1.0236148364505586,724.3631319727727,0,0,160,1,99,0,61.53846153846154,0.3846153846153846,38.07692307692308,0.0,70.36569478668628,70.36569478668628,0.0,0.0146242313069076,,,,,0,0.2,uncapped,0,0.0,0.0,0.0,0.0,3815.2980266080735,0.0,0.0,0.0,3815.2980266080735,0.8855577843430102,1.0
Heuristic-TVD,4344.909649722397,93807.62570991342,260,360.798560422744,138183152908.2682,0.0,100.0,0.5829866011180154,1.247355217141168,0,0,260,0,0,0,100.0,0.0,0.0,0.0,56192.374290086525,56192.374290086525,0.0,0.0158149993065028,,,,,1,0.0,64,236,0.9076923076923076,0.6771314677825595,1948.236285291289,44.839512034865095,2396.673364431108,1535.6347787215318,39.051740677941154,0.4909919439592941,3932.30814315264,1.0,0.6094825932205885
Heuristic-TVD,4302.823557822864,144285.4348201367,260,554.9439800774488,138183152908.2682,14548588661.87024,89.47151779672576,0.6278317242809711,12.39369797901414,0,0,234,0,26,0,90.0,0.0,10.0,0.0,5714.565179863327,5714.565179863327,0.0,0.0144688461799747,,,,,1,0.0,128,140,0.5982905982905983,0.4106550297740806,783.5760657948548,18.210741278718093,3519.247492028009,413.06065112463057,10.504279829745704,0.3270097109377385,3932.30814315264,0.990313701482326,0.894957201702543
Heuristic-TVD,4038.851890244885,149709.05842553667,259,578.0272526082497,138183152908.2682,36830823356.62865,73.34637212896821,0.8754635216707054,70.00982061932552,0,0,180,0,80,0,69.23076923076923,0.0,30.76923076923077,0.0,290.9415744632543,290.9415744632543,0.0,0.0151161545475658,,,,,1,0.0,256,39,0.2166666666666666,0.1591875439723471,159.35389849272275,3.945524689271553,3879.4979917521614,52.81015140047748,1.3429810044880697,0.22660688050584,3932.30814315264,0.9295594651785068,0.9865701899551194
Heuristic-TVD,3908.5325235230816,149861.2902911701,259,578.6150204292281,138183152908.2682,48009444975.31532,65.25665830827727,1.0242173172253994,76.71943782378185,0,0,162,0,98,0,62.30769230769231,0.0,37.69230769230769,0.0,138.70970882998432,138.70970882998432,0.0,0.0147549999662889,,,,,1,0.0,512,6,0.037037037037037,0.0298200699527638,17.200004197709433,0.4400629672183373,3891.332519325372,40.97562382726756,1.042024743117315,0.1513786317872319,3932.30814315264,0.89956589172638,0.9895797525688268
Heuristic-TVD,3932.30814315264,149946.52679892344,259,578.9441189147623,138183152908.2682,48863431219.01808,64.63864791719169,1.014878865215413,76.71943782378185,0,0,162,0,98,0,62.30769230769231,0.0,37.69230769230769,0.0,53.4732010766316,53.4732010766316,0.0,0.0142557679702384,,,,,1,0.0,uncapped,0,0.0,0.0,0.0,0.0,3932.30814315264,0.0,0.0,0.0,3932.30814315264,0.9050379547947288,1.0
Heuristic-TVD,4344.909649722397,93807.62570991342,260,360.798560422744,138183152908.2682,0.0,100.0,0.5829866011180154,1.247355217141168,0,0,260,0,0,0,100.0,0.0,0.0,0.0,56192.374290086525,56192.374290086525,0.0,0.0159084616685644,,,,,1,0.05,64,236,0.9076923076923076,0.6771314677825595,1948.236285291289,44.839512034865095,2396.673364431108,1535.6347787215318,39.051740677941154,0.4909919439592941,3932.30814315264,1.0,0.6094825932205885
Heuristic-TVD,4302.823557822864,144285.4348201367,260,554.9439800774488,138183152908.2682,14548588661.87024,89.47151779672576,0.6278317242809711,12.39369797901414,0,0,234,0,26,0,90.0,0.0,10.0,0.0,5714.565179863327,5714.565179863327,0.0,0.0154042318731976,,,,,1,0.05,128,140,0.5982905982905983,0.4106550297740806,783.5760657948548,18.210741278718093,3519.247492028009,413.06065112463057,10.504279829745704,0.3270097109377385,3932.30814315264,0.990313701482326,0.894957201702543
Heuristic-TVD,4038.851890244885,149709.05842553667,259,578.0272526082497,138183152908.2682,36830823356.62865,73.34637212896821,0.8754635216707054,70.00982061932552,0,0,180,0,80,0,69.23076923076923,0.0,30.76923076923077,0.0,290.9415744632543,290.9415744632543,0.0,0.0161180777537923,,,,,1,0.05,256,39,0.2166666666666666,0.1591875439723471,159.35389849272275,3.945524689271553,3879.4979917521614,52.81015140047748,1.3429810044880697,0.22660688050584,3932.30814315264,0.9295594651785068,0.9865701899551194
