policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,sweep_type,sweep_value,sweep_label,downlink_rate_mbps,visible_min,normalized_value
Fixed-Threshold,2820.0308911545194,94538.50614015998,256,369.2910396099999,143551818802.25815,41203735796.740974,71.29696012176697,63.81445930390952,739.9695277703405,0,0,103,90,67,0,39.61538461538461,34.61538461538461,25.76923076923077,0.0,55461.493859840106,55461.493859840106,0.0,0.0012246155305407369,,,,,2,24,rate,5.0,5 Mbps,5.0,10.0,0.8306623101419773
Deadline-Energy,3394.9185568230705,149859.03486405307,254,589.9962002521775,143551818802.25815,41827812369.16809,70.86222054296249,1.1445659766542424,301.1668144253755,0,0,156,17,87,0,60.0,6.538461538461538,33.46153846153846,0.0,140.96513594669656,140.96513594669656,0.0,0.011965384832225166,,,,,2,24,rate,5.0,5 Mbps,5.0,10.0,1.0
Priority-Aware,1846.1873439884644,70468.98847098667,256,275.2694862147917,143551818802.25815,41318141500.62427,71.21726367149705,474.7361767154915,1433.9593778425344,0,0,74,15,171,0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,79531.01152901343,79531.01152901343,0.0,0.0015242317413839584,,,,,2,24,rate,5.0,5 Mbps,5.0,10.0,0.5438090231289988
Heuristic-TVD,3262.4742466902126,149856.11697141326,247,606.7049270097702,143551818802.25815,20880145038.240005,85.4546287100672,1.0796455485105374,877.1128967255729,0,0,167,6,87,0,64.23076923076923,2.3076923076923075,33.46153846153846,0.0,143.8830285866848,143.8830285866848,0.0,0.016557309404911045,,,,,2,24,rate,5.0,5 Mbps,5.0,10.0,0.960987485291312
All-Downlink,243.7141878076569,0.0,184,0.0,145714942829.99643,41921556523.799576,71.2304340861535,1081.214430590922,1615.2153209525675,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003153836587443948,,,,,3,24,rate,5.0,5 Mbps,5.0,10.0,0.07364955947816824
All-On-Board,2622.849838318015,149676.17291999998,158,947.3175501265822,145714942829.99643,0.0,100.0,1.1894509169151812,1204.4435298936867,0,102,158,0,0,102,60.76923076923077,0.0,0.0,39.23076923076923,323.82708000001776,323.82708000001776,0.0,0.0003850011405749963,,,,,3,24,rate,5.0,5 Mbps,5.0,10.0,0.7926158788997578
Fixed-Threshold,2758.887781943191,110267.08696949345,248,444.62535068344135,145714942829.99643,38305955880.9254,73.7117174553495,71.76720865603646,1102.5255830395618,0,0,109,78,73,0,41.92307692307692,30.0,28.076923076923077,0.0,39732.913030506636,39732.913030506636,0.0,0.001141922257374972,,,,,3,24,rate,5.0,5 Mbps,5.0,10.0,0.8337260609143451
Deadline-Energy,3309.105845770883,149990.26142341335,248,604.7994412234409,145714942829.99643,41843398819.556786,71.28407148443597,1.1894509169151812,863.2667344933376,0,0,157,11,92,0,60.38461538461539,4.230769230769231,35.38461538461539,0.0,9.738576586728243,9.738576586728243,0.0,0.010518076081867687,,,,,3,24,rate,5.0,5 Mbps,5.0,10.0,1.0
Priority-Aware,2036.312891695676,77461.86944597335,256,302.5854275233334,145714942829.99643,41843398819.556694,71.28407148443603,452.7443194999337,1388.8105015107842,0,0,81,12,167,0,31.153846153846153,4.615384615384615,64.23076923076923,0.0,72538.1305540266,72538.1305540266,0.0,0.0016115380836149247,,,,,3,24,rate,5.0,5 Mbps,5.0,10.0,0.6153665027965584
Heuristic-TVD,3138.4175291172155,149919.85906293322,241,622.0741039955735,145714942829.99643,20017744283.06761,86.26239430610624,1.1121057625824202,950.995533096697,0,0,164,6,90,0,63.07692307692308,2.3076923076923075,34.61538461538461,0.0,80.14093706669803,80.14093706669803,0.0,0.0169719229094111,,,,,3,24,rate,5.0,5 Mbps,5.0,10.0,0.9484185986761918
All-Downlink,188.14238182284672,0.0,175,0.0,143751290598.0329,40597848792.12461,71.75827178787071,977.2547041849355,1609.7627523345902,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003123080554919747,,,,,4,24,rate,5.0,5 Mbps,5.0,10.0,0.05355731285831081
All-On-Board,2530.153665705577,149651.71670047997,153,978.1157954279737,143751290598.0329,0.0,100.0,1.2723023214839486,1154.2811964640387,0,107,153,0,0,107,58.84615384615385,0.0,0.0,41.15384615384615,348.28329952004196,348.28329952004196,0.0,0.00046576897148042917,,,,,4,24,rate,5.0,5 Mbps,5.0,10.0,0.7202429890644679
