policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,variant,normalized_value
Heuristic-TVD,3891.4208954406713,149684.9987650133,255,586.9999951569149,145714942829.99643,50897722706.307556,65.07034781896787,1.0229726817230433,77.65385075632592,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,315.0012349866927,315.0012349866927,0.0,0.01644884692863203,,,,,3,24,No prefill/decode split,0.9763513469917995
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.012641154507246729,,,,,3,24,No PRE action,1.0
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.016952308606750403,,,,,4,24,Full,1.0
Heuristic-TVD,3732.354842699305,149723.45942677325,259,578.0828549296265,143751290598.0329,43727193526.66468,69.58135586487523,1.1445659766542424,726.9090733329451,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,276.5405732267061,276.5405732267061,0.0,0.014230384840629995,,,,,4,24,No prefill/decode split,0.9450711005387481
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.011078077771414358,,,,,4,24,No PRE action,1.0
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.015612690521475788,,,,,5,24,Full,1.0
Heuristic-TVD,3774.58067571813,149933.93098693338,259,578.8954864360362,145966253614.7567,53404422990.922714,63.413171422573456,1.0218073941260628,61.70983823207116,0,0,159,1,100,0,61.15384615384615,0.38461538461538464,38.46153846153846,0.0,66.06901306666896,66.06901306666896,0.0,0.015495383503058782,,,,,5,24,No prefill/decode split,0.958697052014378
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.010798077094547737,,,,,5,24,No PRE action,1.0
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.014879230562096031,,,,,6,24,Full,1.0
Heuristic-TVD,3849.0512426216033,149986.2185339732,258,581.3419323022217,136511684238.74997,45891489462.68481,66.38273879734456,1.1445659766542424,77.97047621988175,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,13.781466026678743,13.781466026678743,0.0,0.014488075864322197,,,,,6,24,No prefill/decode split,0.9730824332506831
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.011690767916241804,,,,,6,24,No PRE action,1.0
Heuristic-TVD,4106.0933977159775,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260437,59.41933453479224,0,0,169,1,90,0,65.0,0.38461538461538464,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.015383075403336149,,,,,7,24,Full,0.9985885547230824
Heuristic-TVD,3967.9196809905916,149784.0843531733,254,589.7011195006822,139247165035.33093,52402681148.45689,62.3671468391038,1.1445659766542122,67.99428065483514,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,215.91564682670878,215.91564682670878,0.0,0.013901923039856438,,,,,7,24,No prefill/decode split,0.9649851563780104
Heuristic-TVD,4111.897115478791,149670.5285704532,258,580.1183277924542,139247165035.33093,48006134866.0227,65.5245154514692,1.021807394126055,61.38957043915382,0,0,169,0,91,0,65.0,0.0,35.0,0.0,329.4714295466986,329.4714295466986,0.0,0.012289230989363905,,,,,7,24,No PRE action,1.0
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.016089614991170283,,,,,8,24,Full,1.0
Heuristic-TVD,3700.5559946576886,149867.12259658665,256,585.4184476429166,147675122448.8456,59744846637.20587,59.54305258294173,1.1894509169151812,79.33171732849058,0,0,151,0,109,0,58.07692307692308,0.0,41.92307692307692,0.0,132.8774034132622,132.8774034132622,0.0,0.015352691787903985,,,,,8,24,No prefill/decode split,0.9641918870678626
