policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,hardware_profile,throughput_scale,energy_scale,profile_source,normalized_value
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.3846153846153846,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.0100676921787313,,,,,4,RTX4090-measured,1.0,1.0,measured,0.976602024845582
Priority-Aware,3747.2334643115846,79116.98688778667,260,304.29610341456413,143751290598.0329,78843845988.82722,45.15259956218708,14.598307059213402,722.8285196627825,0,0,88,14,158,0,33.84615384615385,5.384615384615385,60.76923076923077,0.0,70883.01311221336,70883.01311221336,0.0,0.0016080771904223,,,,,4,RTX4090-measured,1.0,1.0,measured,0.9488385224196342
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470055,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.014366154545524,,,,,4,RTX4090-measured,1.0,1.0,measured,1.0
All-Downlink,2624.331765094832,0.0,259,0.0,145966253614.7567,142154292336.35153,2.611536011923654,32.73609921005294,77.76358537846562,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003965385705949,,,,,5,RTX4090-measured,1.0,1.0,measured,0.6665479805185078
All-On-Board,2454.6520370557223,149928.29939221338,153,979.9235254393031,145966253614.7567,0.0,100.0,1.1894509169151812,1280.093058700196,0,107,153,0,0,107,58.84615384615385,0.0,0.0,41.15384615384615,71.70060778667579,71.70060778667579,0.0,0.0005069231309999,,,,,5,RTX4090-measured,1.0,1.0,measured,0.6234514172090625
Fixed-Threshold,3160.25763127706,97302.33349008,260,374.2397441926154,145966253614.7567,53835526053.87235,63.11782708628088,9.936737857560608,71.94880900971727,0,0,105,89,66,0,40.38461538461539,34.23076923076923,25.384615384615383,0.0,52697.66650991997,52697.66650991997,0.0,0.0013423080627734,,,,,5,RTX4090-measured,1.0,1.0,measured,0.8026665568976984
Deadline-Energy,3736.392823105972,55724.94501317332,260,214.3267115891281,145966253614.7567,115042162606.88376,21.185781125471483,16.026909080403055,71.36271956499577,0,0,59,1,200,0,22.692307692307693,0.3846153846153846,76.92307692307692,0.0,94275.05498682668,94275.05498682668,0.0,0.0108830771820906,,,,,5,RTX4090-measured,1.0,1.0,measured,0.948997807285672
Priority-Aware,3721.6376738607496,81787.42338042668,260,314.5670130016411,145966253614.7567,97435093163.56842,33.24820583480533,16.058096002124003,74.03864247899895,0,0,85,9,166,0,32.69230769230769,3.4615384615384617,63.84615384615385,0.0,68212.57661957334,68212.57661957334,0.0,0.0017149998501946,,,,,5,RTX4090-measured,1.0,1.0,measured,0.945250180913708
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.0141553851650454,,,,,5,RTX4090-measured,1.0,1.0,measured,1.0
All-Downlink,2656.6870243738504,0.0,257,0.0,136511684238.74995,125544697380.47523,8.033734928575198,35.892371621477345,112.48918967135168,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.000368461657602,,,,,6,RTX4090-measured,1.0,1.0,measured,0.6716396615968278
All-On-Board,2566.659585161653,149652.1489362133,150,997.6809929080888,136511684238.74995,0.0,100.0,1.2645403243952993,1209.4404617080772,0,110,150,0,0,110,57.69230769230769,0.0,0.0,42.30769230769231,347.8510637866695,347.8510637866695,0.0,0.0004080768961172,,,,,6,RTX4090-measured,1.0,1.0,measured,0.648879736075996
Fixed-Threshold,3188.616449032397,99648.48075525332,258,386.2344215319896,136511684238.74995,44829547598.12704,67.16065159688227,3.392680707280669,75.48668826362353,0,0,105,89,66,0,40.38461538461539,34.23076923076923,25.384615384615383,0.0,50351.51924474671,50351.51924474671,0.0,0.0013015393051318,,,,,6,RTX4090-measured,1.0,1.0,measured,0.8061172630204523
Deadline-Energy,3774.454989403311,59623.26823472,260,229.3202624412308,136511684238.74995,94917012113.92496,30.46967910239732,14.60893868356937,73.92129724806482,0,0,66,1,193,0,25.384615384615383,0.3846153846153846,74.23076923076923,0.0,90376.73176528004,90376.73176528004,0.0,0.0101734618790662,,,,,6,RTX4090-measured,1.0,1.0,measured,0.954223681049816
Priority-Aware,3607.574591128856,72969.55644367999,260,280.652140168,136511684238.74995,79932607445.38664,41.446325352202265,21.3596854391532,77.95723821033201,0,0,77,17,166,0,29.615384615384617,6.538461538461538,63.84615384615385,0.0,77030.44355632007,77030.44355632007,0.0,0.0014565397018136,,,,,6,RTX4090-measured,1.0,1.0,measured,0.9120344833024392
Heuristic-TVD,3955.524332880461,149715.49098826657,257,582.550548592477,136511684238.74995,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.0150119230966083,,,,,6,RTX4090-measured,1.0,1.0,measured,1.0
All-Downlink,2565.0205224621127,0.0,254,0.0,139247165035.33093,133818130750.98093,3.8988472641238494,34.17696786011753,78.97394509599184,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003499991950005,,,,,7,RTX4090-measured,1.0,1.0,measured,0.6246863561089259
All-On-Board,2701.892088043181,149982.54397749322,157,955.3028278821224,139247165035.33093,0.0,100.0,1.2567783273065891,1238.8769180690326,0,103,157,0,0,103,60.38461538461539,0.0,0.0,39.61538461538461,17.456022506699696,17.456022506699696,0.0,0.0004184624860779,,,,,7,RTX4090-measured,1.0,1.0,measured,0.6580201243220901
Fixed-Threshold,3210.460617763232,103787.05425642672,258,402.2754040946773,139247165035.33093,46749516509.30801,66.42695275164392,8.835301087292965,72.80963503318573,0,0,105,100,55,0,40.38461538461539,38.46153846153846,21.153846153846157,0.0,46212.94574357334,46212.94574357334,0.0,0.0011476918678874,,,,,7,RTX4090-measured,1.0,1.0,measured,0.7818771534882906
Deadline-Energy,3883.084076158536,71262.57109365333,260,274.08681189866667,139247165035.33093,99881808965.40208,28.27013107228485,11.838968943251544,68.4461327724551,0,0,71,0,189,0,27.307692307692307,0.0,72.6923076923077,0.0,78737.42890634667,78737.42890634667,0.0,0.0103646141584389,,,,,7,RTX4090-measured,1.0,1.0,measured,0.9456882004482678
Priority-Aware,3909.780591382479,101200.58414976,260,389.2330159606154,139247165035.33093,77464709916.8403,44.36891415549802,9.247300119530852,72.90775365767003,0,0,101,16,143,0,38.84615384615385,6.153846153846154,55.0,0.0,48799.41585024003,48799.41585024003,0.0,0.0019157703858442,,,,,7,RTX4090-measured,1.0,1.0,measured,0.9521898828597768
