policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,normalized_value
Deadline-Energy,3774.454989403311,59623.26823472,260,229.3202624412308,136511684238.74995,94917012113.92496,30.46967910239732,14.60893868356937,73.92129724806482,0,0,66,1,193,0,25.384615384615383,0.3846153846153846,74.23076923076923,0.0,90376.73176528004,90376.73176528004,0.0,0.0095084634197589,,,,,6,24,260,1,fixed-window,10,283,0.954223681049816
Energy-WSRPT,3450.5182428618828,149852.43026117323,257,583.083386230246,136511684238.74995,40142368011.44429,70.59418888918114,1.1121057625823825,110.72537450054526,0,0,152,23,85,0,58.46153846153846,8.846153846153847,32.69230769230769,0.0,147.56973882662228,147.56973882662228,0.0,0.0127919225353532,,,,,6,24,260,1,fixed-window,10,283,0.872328913307221
ActiveInf-inspired,3525.211049593041,149991.51363621312,257,583.624566677872,136511684238.74995,42003085049.19998,69.2311428992852,1.2231146221108853,110.72537450054526,0,0,150,19,91,0,57.69230769230769,7.3076923076923075,35.0,0.0,8.486363786669415,8.486363786669415,0.0,0.0297992310012117,,,,,6,24,260,1,fixed-window,10,283,0.8912120752967129
LEO-DRL-inspired,3606.940469736426,149990.41070351982,257,583.6202751109721,136511684238.74995,44392869941.79159,67.480534586218,1.1894509169151812,110.72537450054526,0,0,155,9,96,0,59.61538461538461,3.4615384615384617,36.92307692307692,0.0,9.589296480005345,9.589296480005345,0.0,0.0575842304477611,,,,,6,24,260,1,fixed-window,10,283,0.911874170449056
Heuristic-TVD,3955.524332880461,149715.49098826657,257,582.550548592477,136511684238.74995,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.0142615376926886,,,,,6,24,260,1,fixed-window,10,283,1.0
Deadline-Energy,3883.084076158536,71262.57109365333,260,274.08681189866667,139247165035.33093,99881808965.40208,28.27013107228485,11.838968943251544,68.4461327724551,0,0,71,0,189,0,27.307692307692307,0.0,72.6923076923077,0.0,78737.42890634667,78737.42890634667,0.0,0.0102646164193104,,,,,7,24,260,1,fixed-window,10,283,0.9456882004482676
Energy-WSRPT,3507.6946827679367,149740.9884856531,254,589.5314507309178,139247165035.33093,44480995043.98906,68.05608571441797,1.000107804039059,66.51159414699696,0,0,155,26,79,0,59.61538461538461,10.0,30.384615384615383,0.0,259.0115143466953,259.0115143466953,0.0,0.0124096152901004,,,,,7,24,260,1,fixed-window,10,283,0.8542656834642628
ActiveInf-inspired,3727.733689542321,149982.54397749322,254,590.482456604304,139247165035.33093,53876426618.40443,61.3087802507617,1.1445659766542424,69.26924140178392,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,17.456022506699696,17.456022506699696,0.0,0.0283815381967892,,,,,7,24,260,1,fixed-window,10,283,0.9078540910968756
LEO-DRL-inspired,3785.378732311769,149984.51935391975,254,590.4902336768494,139247165035.33093,46472156260.40822,66.62613831411439,1.144565976654227,72.73764298342051,0,0,162,8,90,0,62.30769230769231,3.076923076923077,34.61538461538461,0.0,15.480646080001804,15.480646080001804,0.0,0.056351922550955,,,,,7,24,260,1,fixed-window,10,283,0.921892993086176
Heuristic-TVD,4106.0933977159775,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260437,59.41933453479224,0,0,169,1,90,0,65.0,0.3846153846153846,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.0136480764082919,,,,,7,24,260,1,fixed-window,10,283,1.0
Deadline-Energy,3807.586330320566,73051.95887727995,260,280.96907260492287,147675122448.8456,107986139264.03851,26.87587626585871,10.647973555536677,74.23923498141562,0,0,72,1,187,0,27.692307692307693,0.3846153846153846,71.92307692307692,0.0,76948.04112272005,76948.04112272005,0.0,0.0094184631822057,,,,,8,24,260,1,fixed-window,10,283,0.9920789887534682
Energy-WSRPT,3335.145916001523,149805.56215354672,256,585.1779771622919,147675122448.8456,43717117103.24272,70.39642400270483,1.079645548510545,78.66929020213107,0,0,150,27,83,0,57.69230769230769,10.384615384615383,31.923076923076923,0.0,194.43784645337144,194.43784645337144,0.0,0.0122100005123334,,,,,8,24,260,1,fixed-window,10,283,0.8689831039007548
ActiveInf-inspired,3402.393805083593,149989.19807631974,256,585.895304985624,147675122448.8456,52171633258.62287,64.67134586145677,1.2567783273065891,79.33171732849058,0,0,150,19,91,0,57.69230769230769,7.3076923076923075,35.0,0.0,10.801923679920437,10.801923679920437,0.0,0.0297523073431176,,,,,8,24,260,1,fixed-window,10,283,0.8865047598813636
LEO-DRL-inspired,3600.2351175699287,149988.1052278933,256,585.8910360464583,147675122448.8456,50727682313.99014,65.64913475418845,1.1894509169151812,78.71920664394437,0,0,151,1,108,0,58.07692307692308,0.3846153846153846,41.53846153846154,0.0,11.894772106579126,11.894772106579126,0.0,0.0547923069321908,,,,,8,24,260,1,fixed-window,10,283,0.9380529566122248
