policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,normalized_value,robustness_variant
Energy-WSRPT,3445.5022080778594,149772.53937029318,256,585.0489819152077,145047080871.27374,39449361301.11854,72.80237488120906,0.9832486245364028,79.09861167966864,0,0,157,29,74,0,60.38461538461539,11.153846153846152,28.46153846153846,0.0,227.4606297067164,227.4606297067164,0.0,0.0124007697405221,,,,,9,24,260,0,fixed-window,10,283,0.8553462809800546,no-pre
ActiveInf-inspired,3504.66277133158,149873.5611089066,256,585.4435980816664,145047080871.27374,50140040654.220375,65.4318857345922,1.144565976654227,79.09861167966864,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,126.43889109329524,126.43889109329524,0.0,0.0253846151351283,,,,,9,24,260,0,fixed-window,10,283,0.8700328969517753,no-pre
LEO-DRL-inspired,3720.591201268368,149762.45833631995,256,585.0096028762498,145047080871.27374,44211467967.27513,69.51922941040648,1.079645548510598,79.09861167966864,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,237.5416636799904,237.5416636799904,0.0,0.053794615870664,,,,,9,24,260,0,fixed-window,10,283,0.9236371521083344,no-pre
Heuristic-TVD,4028.195696519552,149522.0178698665,257,581.7977349022043,145047080871.27374,41111842808.23144,71.65620806618139,0.9832486245364028,70.43976702267629,0,0,172,0,88,0,66.15384615384616,0.0,33.84615384615385,0.0,477.9821301333002,477.9821301333002,0.0,0.010108076094184,,,,,9,24,260,0,fixed-window,10,283,1.0,no-pre
Deadline-Energy,3706.507052881344,74242.05993642665,260,285.5463843708717,141896346105.7374,102687834277.71008,27.631798072383184,18.2938328705658,101.39133485483056,0,0,76,0,184,0,29.23076923076923,0.0,70.76923076923077,0.0,75757.94006357338,75757.94006357338,0.0,0.0110073073301464,,,,,0,24,260,1,tle,10,283,0.9553290641485346,tle
Energy-WSRPT,3318.981262687555,149926.47214549338,254,590.2617013602102,141896346105.7374,44887077493.39559,68.36629079937906,1.1445659766542235,82.39147357370932,0,0,152,14,94,0,58.46153846153846,5.384615384615385,36.15384615384615,0.0,73.52785450669936,73.52785450669936,0.0,0.0133296159149792,,,,,0,24,260,1,tle,10,283,0.8554467099003595,tle
ActiveInf-inspired,3359.7590180774423,149991.64198074644,255,588.2025175715547,141896346105.7374,45119470954.62508,68.20251388220862,1.1894509169151812,82.4674219566125,0,0,151,23,86,0,58.07692307692308,8.846153846153847,33.07692307692308,0.0,8.358019253337659,8.358019253337659,0.0,0.0306426917981857,,,,,0,24,260,1,tle,10,283,0.8659569218975053,tle
LEO-DRL-inspired,3478.229060116652,149994.69378191998,254,590.53029048,141896346105.7374,49934728158.518135,64.80901057078094,1.1894509169151812,82.47336960808907,0,0,153,11,96,0,58.84615384615385,4.230769230769231,36.92307692307692,0.0,5.306218079991993,5.306218079991993,0.0,0.0576803856977046,,,,,0,24,260,1,tle,10,283,0.89649183597597,tle
Heuristic-TVD,3879.822348108794,149831.9900123734,257,583.0038521882234,141896346105.7374,47171833455.71634,66.75613238091054,1.0451746570634592,69.79858179948845,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,168.00998762664744,168.00998762664744,0.0,0.0148588471347466,,,,,0,24,260,1,tle,10,283,1.0,tle
Deadline-Energy,3737.409662619984,66273.10336853331,260,254.8965514174358,138183152908.2682,98798174225.01125,28.50201189822493,15.77085353379604,92.3983412675936,0,0,72,2,186,0,27.692307692307693,0.7692307692307693,71.53846153846153,0.0,83726.89663146666,83726.89663146666,0.0,0.0108184625367777,,,,,1,24,260,1,tle,10,283,0.9309333494938644,tle
Energy-WSRPT,3674.573426234536,149949.4845007999,259,578.955538613127,138183152908.2682,39484276406.991066,71.4261286010731,0.9832486245364028,70.9825342447437,0,0,163,16,81,0,62.69230769230769,6.153846153846154,31.15384615384616,0.0,50.51549919997322,50.51549919997322,0.0,0.0133111540120668,,,,,1,24,260,1,tle,10,283,0.9152817743954882,tle
ActiveInf-inspired,3689.137747495731,149984.4624849066,259,579.0905887448131,138183152908.2682,47166344065.62943,65.8667912310986,1.0796455485105374,75.85875508974077,0,0,161,2,97,0,61.92307692307692,0.7692307692307693,37.30769230769231,0.0,15.537515093307604,15.537515093307604,0.0,0.0297423077147239,,,,,1,24,260,1,tle,10,283,0.91890953094313,tle
LEO-DRL-inspired,3722.3715809156297,149987.02060410654,259,579.100465652921,138183152908.2682,44438065243.499535,67.84118446551919,1.079645548510598,75.85875508974077,0,0,160,13,87,0,61.53846153846154,5.0,33.46153846153846,0.0,12.979395893288311,12.979395893288311,0.0,0.0575042306221663,,,,,1,24,260,1,tle,10,283,0.9271875862421092,tle
Heuristic-TVD,4014.6909170801127,149619.30930117326,259,577.6807308925609,138183152908.2682,44338677668.42206,67.91310898959155,0.988017054228476,70.35701400159182,0,0,170,1,89,0,65.38461538461539,0.3846153846153846,34.23076923076923,0.0,380.69069882662734,380.69069882662734,0.0,0.0148811551088538,,,,,1,24,260,1,tle,10,283,1.0,tle
Deadline-Energy,3676.171568022325,56348.64672000001,260,216.7255643076924,143551818802.25815,104771777132.48756,27.014664107593024,15.516571081644845,88.41497607482745,0,0,61,0,199,0,23.46153846153846,0.0,76.53846153846153,0.0,93651.35328,93651.35328,0.0,0.0106326927869723,,,,,2,24,260,1,tle,10,283,0.9238002156477254,tle
