policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,allow_pre,split_energy,normalized_value
Heuristic-TVD,3789.9570883062393,149738.6528477866,257,582.640672559481,138183152908.2682,42823544795.97364,69.0095761352314,1.0389123766081108,111.53873491587875,0,1,161,0,99,0,61.92307692307693,0.0,38.07692307692307,0.0,261.3471522133045,261.3471522133045,0.0,0.015099231453719907,,,,,1,Merged prefill/decode cost,True,False,0.8744634274253299
Heuristic-TVD,3686.7256644377812,149636.9355066666,253,591.4503379710143,143551818802.25815,45307109647.63311,68.43849835853113,0.9832486245364028,754.0107986472566,0,0,160,0,100,0,61.53846153846154,0.0,38.46153846153847,0.0,363.0644933333697,363.0644933333697,0.0,0.013403460840121485,,,,,2,Merged prefill/decode cost,True,False,0.8624222056023151
Heuristic-TVD,3891.4208954406713,149684.9987650133,255,586.9999951569149,145714942829.99643,50897722706.307556,65.07034781896787,1.0229726817230433,77.65385075632592,0,0,161,0,99,0,61.92307692307693,0.0,38.07692307692307,0.0,315.0012349866927,315.0012349866927,0.0,0.014427691908517422,,,,,3,Merged prefill/decode cost,True,False,0.8927451237472641
Heuristic-TVD,3732.354842699305,149723.45942677325,259,578.0828549296265,143751290598.0329,43727193526.66468,69.58135586487523,1.1445659766542424,726.9090733329451,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,276.5405732267061,276.5405732267061,0.0,0.014010384732570786,,,,,4,Merged prefill/decode cost,True,False,0.8536439363449968
Heuristic-TVD,3774.58067571813,149933.93098693338,259,578.8954864360362,145966253614.7567,53404422990.922714,63.413171422573456,1.0218073941260628,61.70983823207116,0,0,159,1,100,0,61.15384615384616,0.38461538461538464,38.46153846153847,0.0,66.06901306666896,66.06901306666896,0.0,0.01403923043443893,,,,,5,Merged prefill/decode cost,True,False,0.884292047578192
Heuristic-TVD,3849.0512426216033,149986.2185339732,258,581.3419323022217,136511684238.74997,45891489462.68481,66.38273879734456,1.1445659766542424,77.97047621988175,0,0,159,0,101,0,61.15384615384616,0.0,38.84615384615385,0.0,13.781466026678743,13.781466026678743,0.0,0.013921154851022247,,,,,6,Merged prefill/decode cost,True,False,0.889874262873102
Heuristic-TVD,3967.9196809905916,149784.0843531733,254,589.7011195006822,139247165035.33093,52402681148.45689,62.3671468391038,1.1445659766542122,67.99428065483514,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,215.91564682670878,215.91564682670878,0.0,0.014728076124671273,,,,,7,Merged prefill/decode cost,True,False,0.8944869600655064
Heuristic-TVD,3700.5559946576886,149867.12259658665,256,585.4184476429166,147675122448.8456,59744846637.20587,59.54305258294173,1.1894509169151812,79.33171732849058,0,0,151,0,109,0,58.07692307692308,0.0,41.92307692307693,0.0,132.8774034132622,132.8774034132622,0.0,0.013833460196530303,,,,,8,Merged prefill/decode cost,True,False,0.8641940074076847
Heuristic-TVD,3853.6721623288176,149989.67776021324,256,585.897178750833,145047080871.27374,45106111710.970985,68.90243399589563,1.049900604626555,75.33763815326326,0,1,164,0,96,0,63.07692307692307,0.0,36.92307692307693,0.0,10.322239786631826,10.322239786631826,0.0,0.013273845699866517,,,,,9,Merged prefill/decode cost,True,False,0.8684278276148057
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.010386923028048702,,,,,0,No PRE action,False,True,0.9034164970637761
