policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,profile_label,energy_scale,latency_scale,normalized_value
Heuristic-TVD,4319.955537648775,124054.55939658661,260,477.13292075610235,145966253614.7567,840764285.8774741,99.42400091455626,0.3356747684466276,0.661098265084729,0,0,259,0,1,0,99.61538461538461,0.0,0.38461538461538464,0.0,25945.440603413455,25945.440603413455,0.0,0.01351423046659105,,,,,5,0.5x,0.5,0.5,0.999998189665567
All-Downlink,2656.6870243738504,0.0,257,0.0,136511684238.74997,125544697380.47523,8.033734928575198,35.892371621477345,112.48918967135168,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0008284611305078635,,,,,6,0.5x,0.5,0.5,0.6072905647907555
All-On-Board,4374.63901547472,127862.48990858655,260,491.7788073407175,136511684238.74997,0.0,100.0,0.3587609853034034,0.6610982650848071,0,0,260,0,0,0,100.0,0.0,0.0,0.0,22137.510091413365,22137.510091413365,0.0,0.0003342307396591283,,,,,6,0.5x,0.5,0.5,0.9999962261604617
Fixed-Threshold,3218.175519744104,50619.068227626565,258,196.19793886676962,136511684238.74997,44829547598.12704,67.16065159688227,3.3926807072806695,75.48668826362353,0,0,105,89,66,0,40.38461538461539,34.23076923076923,25.384615384615383,0.0,99380.93177237343,99380.93177237343,0.0,0.0010953856802258927,,,,,6,0.5x,0.5,0.5,0.7356408982506327
Deadline-Energy,3799.1207016498793,29820.564767360003,260,114.69447987446155,136511684238.74997,94917012113.92496,30.46967910239732,14.60893868356937,73.92129724806482,0,0,66,1,193,0,25.384615384615383,0.38461538461538464,74.23076923076923,0.0,120179.43523264003,120179.43523264003,0.0,0.0092561551495097,,,,,6,0.5x,0.5,0.5,0.8684388245382344
Priority-Aware,3643.3469945380125,36636.59927184,260,140.90999719938463,136511684238.74997,79932607445.38664,41.446325352202265,21.359685439153196,77.95723821033201,0,0,77,17,166,0,29.615384615384617,6.538461538461538,63.84615384615385,0.0,113363.40072816005,113363.40072816005,0.0,0.0013603851234970184,,,,,6,0.5x,0.5,0.5,0.8328306020778521
Heuristic-TVD,4374.655524722705,127044.97601418654,260,488.6345231314867,136511684238.74997,855181571.6907263,99.37354697771138,0.3587609853034034,0.6610982650848071,0,0,259,0,1,0,99.61538461538461,0.0,0.38461538461538464,0.0,22955.023985813365,22955.023985813365,0.0,0.01449807616434275,,,,,6,0.5x,0.5,0.5,1.0
All-Downlink,2565.0205224621127,0.0,254,0.0,139247165035.33093,133818130750.98091,3.8988472641238503,34.17696786011753,78.97394509599184,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002853846616254976,,,,,7,0.5x,0.5,0.5,0.5705787835943975
All-On-Board,4495.471258681583,125123.68041114652,260,481.24492465825585,139247165035.33093,0.0,100.0,0.33567476844656313,0.661098265084729,0,0,260,0,0,0,100.0,0.0,0.0,0.0,24876.319588853527,24876.319588853527,0.0,0.00033807725860522344,,,,,7,0.5x,0.5,0.5,1.0
Fixed-Threshold,3248.001049069735,52786.59212821327,258,204.59919429540028,139247165035.33093,46749516509.30801,66.42695275164392,8.835301087292965,72.80963503318573,0,0,105,100,55,0,40.38461538461539,38.46153846153846,21.153846153846153,0.0,97213.4078717868,97213.4078717868,0.0,0.0010438458188078725,,,,,7,0.5x,0.5,0.5,0.7225051306461467
Deadline-Energy,3912.7852908677223,35631.285546826664,260,137.04340594933333,139247165035.33093,99881808965.40207,28.270131072284855,11.838968943251544,68.4461327724551,0,0,71,0,189,0,27.307692307692307,0.0,72.6923076923077,0.0,114368.71445317336,114368.71445317336,0.0,0.009601922871437497,,,,,7,0.5x,0.5,0.5,0.8703837853064711
Priority-Aware,3957.515422006299,50743.18247487999,260,195.16608644184612,139247165035.33093,77464709916.8403,44.36891415549802,9.247300119530852,72.90775365767003,0,0,101,16,143,0,38.84615384615385,6.153846153846154,55.0,0.0,99256.81752512009,99256.81752512009,0.0,0.0014542312083694225,,,,,7,0.5x,0.5,0.5,0.8803338280416336
Heuristic-TVD,4494.322596421924,124093.58646426651,260,477.2830248625635,139247165035.33093,416226126.0627852,99.70108825845239,0.33567476844656313,0.661098265084732,0,0,259,0,1,0,99.61538461538461,0.0,0.38461538461538464,0.0,25906.413535733525,25906.413535733525,0.0,0.01441307809168043,,,,,7,0.5x,0.5,0.5,0.9997444845726816
All-Downlink,2533.5936614346742,0.0,256,0.0,147675122448.8456,136992547483.91032,7.233835183468839,31.06743035179552,79.44232709372092,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00028000090074223967,,,,,8,0.5x,0.5,0.5,0.5839898351328604
All-On-Board,4338.420823469076,128446.12839258654,260,494.02357074071745,147675122448.8456,0.0,100.0,0.3251271429311601,0.6610982650848201,0,0,260,0,0,0,100.0,0.0,0.0,0.0,21553.871607413366,21553.871607413366,0.0,0.0003280768466468614,,,,,8,0.5x,0.5,0.5,1.0
Fixed-Threshold,3086.220956512011,51137.113183039895,258,198.20586505054223,147675122448.8456,50189131471.694786,66.01382098797298,7.909545745180791,77.9508158178969,0,0,98,103,59,0,37.69230769230769,39.61538461538461,22.692307692307693,0.0,98862.88681696025,98862.88681696025,0.0,0.001357692347552914,,,,,8,0.5x,0.5,0.5,0.7113696623934733
Deadline-Energy,3837.4028644311966,36534.910088639976,260,140.5188849563076,147675122448.8456,107986139264.03853,26.87587626585871,10.647973555536677,74.23923498141562,0,0,72,1,187,0,27.692307692307693,0.38461538461538464,71.92307692307692,0.0,113465.08991136006,113465.08991136006,0.0,0.012173463003889013,,,,,8,0.5x,0.5,0.5,0.8845160533234633
Priority-Aware,3796.929678792544,43698.150676053316,259,168.71872847897032,147675122448.8456,91277240214.14523,38.19050988377308,11.816140087959745,78.44504524348606,0,0,85,8,167,0,32.69230769230769,3.076923076923077,64.23076923076923,0.0,106301.84932394674,106301.84932394674,0.0,0.001910386289147517,,,,,8,0.5x,0.5,0.5,0.8751870400060577
Heuristic-TVD,4338.404045551021,126351.83458309321,260,485.9685945503585,147675122448.8456,1597923022.6613972,98.91794704743522,0.3251271429311601,0.6610982650848201,0,0,258,0,2,0,99.23076923076923,0.0,0.7692307692307693,0.0,23648.165416906697,23648.165416906697,0.0,0.015471537167636247,,,,,8,0.5x,0.5,0.5,0.9999961327130914
All-Downlink,2555.748586379738,0.0,256,0.0,145047080871.27374,138274748222.04004,4.669058217892719,37.4960716972247,80.08159020947357,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002703843235324782,,,,,9,0.5x,0.5,0.5,0.5692613888925108
All-On-Board,4489.587096978256,118645.9048508799,260,456.330403272615,145047080871.27374,0.0,100.0,0.3251271429311601,0.6985189215990734,0,0,260,0,0,0,100.0,0.0,0.0,0.0,31354.095149120134,31354.095149120134,0.0,0.00034000057404717576,,,,,9,0.5x,0.5,0.5,1.0
