policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,penalty_value_per_kj,soft_lambda_energy,penalized_value,normalized_value,normalized_penalized_value
Heuristic-TVD,3660.8038372898914,151170.51263562668,260,581.4250485985642,145966253614.7567,50652660247.69524,65.2983761703024,1.079645548510598,67.12957763413306,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,-1170.5126356266587,-1170.5126356266587,1170.5126356266846,0.013951153960078955,,,,,5,soft-penalty-1,1.0,2.0,3659.6333246542645,0.8571235431718571,0.8568494848004808
Heuristic-TVD,3977.024014181917,151339.4965755733,260,582.0749868291281,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,60.69033196491226,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,-1339.4965755733392,-1339.4965755733392,1339.4965755733137,0.014177307513399193,,,,,5,soft-penalty-5,5.0,8.0,3970.3265313040506,0.9311618611170155,0.9295937437007981
Heuristic-TVD,4066.9863218432174,135889.93129071998,260,522.6535818873846,145966253614.7567,63185187109.98152,56.71246911855131,0.9832486245364028,60.69033196491226,0,0,159,1,100,0,61.15384615384615,0.38461538461538464,38.46153846153846,0.0,14110.068709280034,14110.068709280034,0.0,0.013844999865306398,,,,,5,soft-penalty-10,10.0,16.0,4066.9863218432174,0.9522252164132267,0.9522252164132267
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.013588461577175902,,,,,6,hard-budget,,8.0,3955.5243328804604,0.9138565446602256,0.9138565446602256
Heuristic-TVD,4328.38650222846,255724.9798171731,260,983.557614681435,136511684238.74997,0.0,100.0,0.719300551412698,1.3970378431980892,0,0,260,0,0,0,100.0,0.0,0.0,0.0,-105724.97981717333,-105724.97981717333,105724.9798171731,0.01360615368377274,,,,,6,soft-penalty-0,0.0,0.0,4328.38650222846,1.0,1.0
Heuristic-TVD,3739.3551155752752,152081.15970858658,260,584.9275373407177,136511684238.74997,46746026330.829025,65.75675804492069,1.1445659766542424,76.37344048744572,0,0,160,0,100,0,61.53846153846154,0.0,38.46153846153846,0.0,-2081.159708586665,-2081.159708586665,2081.1597085865797,0.014267692928954672,,,,,6,soft-penalty-1,1.0,2.0,3737.2739558666885,0.8639143278101613,0.8634335112963136
Heuristic-TVD,3995.2709180662687,152127.55946218653,260,585.1059979314866,136511684238.74997,41220788579.558304,69.80420481263285,1.079645548510545,73.40208585509937,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,-2127.559462186675,-2127.559462186675,2127.559462186531,0.013801923509723006,,,,,6,soft-penalty-5,5.0,8.0,3984.633120755336,0.9230393163848267,0.9205816344505873
Heuristic-TVD,4122.8396038354285,140309.44965631992,260,539.6517294473844,136511684238.74997,40865922567.93371,70.0641576610674,1.021807394126055,57.773945574171734,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,9690.550343679957,9690.550343679957,0.0,0.014689230346658196,,,,,6,soft-penalty-10,10.0,16.0,4122.8396038354285,0.9525118890636948,0.9525118890636948
Heuristic-TVD,4106.0933977159775,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260437,59.41933453479224,0,0,169,1,90,0,65.0,0.38461538461538464,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.014192690566862719,,,,,7,hard-budget,,8.0,4106.0933977159775,0.9250870405254099,0.9250870405254099
Heuristic-TVD,4438.60222642822,250247.36082229303,260,962.4898493165117,139247165035.33093,0.0,100.0,0.7175219706068068,1.4816931001610218,0,0,260,0,0,0,100.0,0.0,0.0,0.0,-100247.36082229327,-100247.36082229327,100247.36082229303,0.013543078183339765,,,,,7,soft-penalty-0,0.0,0.0,4438.60222642822,1.0,1.0
Heuristic-TVD,3873.678963141647,155217.59990282657,260,596.9907688570253,139247165035.33093,56681096056.334984,59.29461397511871,1.1445659766542424,60.05596751935935,0,0,162,0,98,0,62.30769230769231,0.0,37.69230769230769,0.0,-5217.599902826634,-5217.599902826634,5217.599902826565,0.014733845623245893,,,,,7,soft-penalty-1,1.0,2.0,3868.4613632388205,0.872724962844627,0.8715494576660462
Heuristic-TVD,4148.519448978521,151942.97235823984,260,584.3960475316917,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260324,57.31557262964474,0,0,171,1,88,0,65.76923076923077,0.38461538461538464,33.84615384615385,0.0,-1942.9723582399686,-1942.9723582399686,1942.9723582398437,0.013797692372463644,,,,,7,soft-penalty-5,5.0,8.0,4138.804587187322,0.9346454666015136,0.9324567456268439
Heuristic-TVD,4189.91591431265,140827.19087887986,260,541.6430418418456,139247165035.33093,53944148099.04066,61.26014624042543,1.019387188833874,57.88440117630681,0,0,161,1,98,0,61.92307692307692,0.38461538461538464,37.69230769230769,0.0,9172.809121120035,9172.809121120035,0.0,0.014014230803765643,,,,,7,soft-penalty-10,10.0,16.0,4189.91591431265,0.9439719309302266,0.9439719309302266
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.013081923624178251,,,,,8,hard-budget,,8.0,3837.9870690586226,0.8948984149685529,0.8948984149685529
