policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,dpp_energy_queue_final,dpp_bandwidth_queue_final,seed,memory_gb,normalized_value
PeakMem-inspired,4158.495966742878,131055.58259317337,260,504.0599330506668,141896346105.7374,54337748671.77196,61.70602685478532,0.7175219706068068,46.32288827708436,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,18944.41740682664,18944.41740682664,0.0,0.023196922400249884,,,,,,,0,8.0,1.0
PBR-adapted,3606.0342575182135,149818.60667264002,254,589.837034144252,141896346105.7374,40600266532.14116,71.38737702104963,1.0218073941260324,736.8176803410713,0,0,156,8,96,0,60.0,3.076923076923077,36.92307692307692,0.0,181.39332736005818,181.39332736005818,0.0,5.880977307522419,,,,,,,0,8.0,0.8671486725866954
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.01832807678371095,,,,,,,0,8.0,0.9336289761759318
ActiveInf-inspired,3627.2632596596977,149984.4624849066,257,583.5971302914654,138183152908.2682,42908622373.47966,68.94800743042518,1.1121057625823898,111.78914483510077,0,0,161,2,97,0,61.92307692307692,0.7692307692307693,37.30769230769231,0.0,15.537515093307604,15.537515093307604,0.0,0.04208423040556507,,,,,,,1,8.0,0.8564474400776322
PeakMem-inspired,4235.24327345868,138091.1460824534,260,531.1197926248208,138183152908.2682,52144712318.33289,62.26405953195412,0.7175219706068068,38.44063977397732,0,0,163,0,97,0,62.69230769230769,0.0,37.30769230769231,0.0,11908.853917546638,11908.853917546638,0.0,0.025020770352477066,,,,,,,1,8.0,1.0
PBR-adapted,3805.818738743959,149897.76833706658,257,583.2597989769127,138183152908.2682,41999740976.53451,69.60574419342154,0.7927439326949752,111.78914483510077,0,0,161,4,95,0,61.92307692307692,1.5384615384615385,36.53846153846154,0.0,102.2316629333128,102.2316629333128,0.0,5.932073076725758,,,,,,,1,8.0,0.8986068787581039
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.019159615308476183,,,,,,,1,8.0,0.9328609023017681
ActiveInf-inspired,3467.0066141661837,149984.09373605307,253,592.8225048855852,143551818802.25815,40603544090.13373,71.71506120304552,0.9832486245364028,754.0107986472566,0,0,158,17,85,0,60.76923076923077,6.538461538461538,32.69230769230769,0.0,15.906263946685328,15.906263946685328,0.0,0.04096000003091131,,,,,,,2,8.0,0.8296201480626226
PeakMem-inspired,4179.028947479807,148145.71623722665,260,569.7912162970256,143551818802.25815,45646319949.965706,68.20220020141767,0.6502542858624414,40.94793275181142,0,0,169,0,91,0,65.0,0.0,35.0,0.0,1854.2837627734539,1854.2837627734539,0.0,0.023888076248113066,,,,,,,2,8.0,1.0
PBR-adapted,3617.505237769808,149937.65097269317,253,592.6389366509611,143551818802.25815,45071123719.67207,68.60288911995096,0.721079132218559,753.8664932918881,0,0,156,6,98,0,60.0,2.3076923076923075,37.69230769230769,0.0,62.34902730667835,62.34902730667835,0.0,5.944549999101302,,,,,,,2,8.0,0.8656329695804978
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.018050384488350783,,,,,,,2,8.0,0.9171074137248777
ActiveInf-inspired,3655.0081218540313,149997.6763199998,255,588.2261816470581,145714942829.99643,47615867559.41237,67.32259119439443,1.1445659766542424,78.84356683183506,0,0,158,18,84,0,60.76923076923077,6.923076923076923,32.30769230769231,0.0,2.3236800000176743,2.3236800000176743,0.0,0.03976653802405613,,,,,,,3,8.0,0.859413243723196
PeakMem-inspired,4252.9110978318295,149343.77357279998,260,574.3991291261538,145714942829.99643,47762009296.054276,67.22229829800123,0.7175219706068068,43.12602561722216,0,0,171,0,89,0,65.76923076923077,0.0,34.23076923076923,0.0,656.2264271999313,656.2264271999313,0.0,0.02404692260405192,,,,,,,3,8.0,1.0
PBR-adapted,3798.7116905394964,149988.65880639997,255,588.1908188486274,145714942829.99643,44879114674.126335,69.20074646943645,0.9764344490892352,77.65385075632592,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,11.341193600005568,11.341193600005568,0.0,6.237637308479932,,,,,,,3,8.0,0.8932027035496021
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.020101923235835366,,,,,,,3,8.0,0.9371643777620872
ActiveInf-inspired,3432.171178530017,149991.08140047977,259,579.1161444033968,143751290598.0329,41365535728.2497,71.22423349650556,1.2567783273066198,726.9090733329451,0,0,153,19,88,0,58.84615384615385,7.3076923076923075,33.84615384615385,0.0,8.918599520041823,8.918599520041823,0.0,0.041238461898711436,,,,,,,4,8.0,0.8053058540283441
PeakMem-inspired,4261.947384787316,138600.9176017067,260,533.0804523142565,143751290598.0329,49476830242.76368,65.58164449381248,1.0218073941260324,47.28525523587228,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,11399.082398293373,11399.082398293373,0.0,0.02487961587925943,,,,,,,4,8.0,1.0
PBR-adapted,3546.5718212149195,149772.65589845323,259,578.2728026967307,143751290598.0329,44538818544.37131,69.01675222595826,1.1445659766542349,726.9090733329451,0,0,152,6,102,0,58.46153846153846,2.3076923076923075,39.23076923076923,0.0,227.34410154669075,227.34410154669075,0.0,6.081853077585738,,,,,,,4,8.0,0.8321481944789199
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.019583077720688798,,,,,,,4,8.0,0.9266385407085579
ActiveInf-inspired,3453.901779657783,149999.74459221333,259,579.1495930201287,145966253614.7567,51324744009.61919,64.83793840110559,1.1894509169151757,70.00163995268541,0,0,153,4,103,0,58.84615384615385,1.5384615384615385,39.61538461538461,0.0,0.2554077866757609,0.2554077866757609,0.0,0.04004038436015925,,,,,,,5,8.0,0.8287478353292994
PeakMem-inspired,4167.614843042565,134524.0918011734,260,517.4003530814362,145966253614.7567,61625023293.84253,57.78132152621581,0.9832486245364028,43.70337249098748,0,0,156,0,104,0,60.0,0.0,40.0,0.0,15475.908198826673,15475.908198826673,0.0,0.024726922856643796,,,,,,,5,8.0,1.0
