policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value,scenario
LEO-DRL-inspired,3650.139754763961,149859.33771402662,253,592.3293980791566,143551818802.25815,44387986069.44715,69.07877138736127,0.9832486245364028,754.0107986472566,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,140.66228597334646,140.66228597334646,0.0,0.0540473081995374,,,,,2,24,260,0,fixed-window,10,283,10,646,0.9523879878787764,no-pre
Hierarchical-RA-inspired,3503.876401087591,149988.82686965325,253,592.8412129235306,143551818802.25815,46598836653.9086,67.53866510176493,1.0218073941260324,754.0107986472566,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,11.17313034669212,11.17313034669212,0.0,0.012717308037771,,,,,2,24,260,0,fixed-window,10,283,10,646,0.914225213172292,no-pre
DRL-UA-inspired,3651.320038308592,149703.57788586663,253,591.7137465844531,143551818802.25815,45616322118.02735,68.22309706792112,1.0025280093312177,754.0107986472566,0,0,156,0,104,0,60.0,0.0,40.0,0.0,296.42211413336554,296.42211413336554,0.0,0.0564338460278052,,,,,2,24,260,0,fixed-window,10,283,10,646,0.9526959453669056,no-pre
QoS-Multihop-projected,3529.0639864737486,149721.43295786655,253,591.7843199915674,143551818802.25815,46874359635.59304,67.34673233213282,0.9558835878589887,754.0107986472566,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,278.56704213334706,278.56704213334706,0.0,0.013612691747347,,,,,2,24,260,0,fixed-window,10,283,10,646,0.9207971132575252,no-pre
DelayCost-adapted,3503.876401087591,149988.82686965325,253,592.8412129235306,143551818802.25815,46598836653.9086,67.53866510176493,1.0218073941260324,754.0107986472566,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,11.17313034669212,11.17313034669212,0.0,0.0115861553170431,,,,,2,24,260,0,fixed-window,10,283,10,646,0.914225213172292,no-pre
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258743,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.0103149986199031,,,,,2,24,260,0,fixed-window,10,283,10,646,1.0,no-pre
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.15732276435008,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.07692307692308,0.0,71.92307692307692,0.0,78302.47292479995,78302.47292479995,0.0,0.0101549990806513,,,,,3,24,260,0,fixed-window,10,283,10,646,0.9646914194077068,no-pre
Energy-WSRPT,3623.277603213673,149949.53697776,255,588.0373999127843,145714942829.99643,39833274930.7004,72.66356204993106,0.9823328932730268,77.65385075632592,0,0,159,19,82,0,61.15384615384615,7.3076923076923075,31.53846153846154,0.0,50.463022240007376,50.463022240007376,0.0,0.0123107689432799,,,,,3,24,260,0,fixed-window,10,283,10,646,0.909074619136588,no-pre
ActiveInf-inspired,3675.794092615589,149676.17291999998,255,586.965384,145714942829.99643,53119402792.70478,63.54567228243816,1.1445659766542424,78.84356683183506,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,323.82708000001776,323.82708000001776,0.0,0.0266542307844457,,,,,3,24,260,0,fixed-window,10,283,10,646,0.9222509232539134,no-pre
LEO-DRL-inspired,3733.148221129786,149984.66605386665,255,588.1751609955555,145714942829.99643,53594204678.18169,63.21982932065568,1.079645548510598,76.9653606780634,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,15.333946133347808,15.333946133347808,0.0,0.053195000733607,,,,,3,24,260,0,fixed-window,10,283,10,646,0.9366409833720534,no-pre
Hierarchical-RA-inspired,3675.794092615589,149676.17291999998,255,586.965384,145714942829.99643,53119402792.70478,63.54567228243816,1.1445659766542424,78.84356683183506,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,323.82708000001776,323.82708000001776,0.0,0.012505385138166,,,,,3,24,260,0,fixed-window,10,283,10,646,0.9222509232539134,no-pre
DRL-UA-inspired,3766.345350956692,149646.50897439994,255,586.8490548015684,145714942829.99643,49218126474.920105,66.22300670128101,1.0218073941260324,73.13191143162409,0,0,160,0,100,0,61.53846153846154,0.0,38.46153846153846,0.0,353.4910256000408,353.4910256000408,0.0,0.0610692307908231,,,,,3,24,260,0,fixed-window,10,283,10,646,0.9449700907324872,no-pre
QoS-Multihop-projected,3771.117408585051,149934.04405141328,255,587.9766433388756,145714942829.99643,47208469637.48302,67.60217674273773,0.9832486245364028,77.65385075632592,0,0,160,0,100,0,61.53846153846154,0.0,38.46153846153846,0.0,65.95594858670472,65.95594858670472,0.0,0.0155088461514634,,,,,3,24,260,0,fixed-window,10,283,10,646,0.9461673924427264,no-pre
DelayCost-adapted,3675.794092615589,149676.17291999998,255,586.965384,145714942829.99643,53119402792.70478,63.54567228243816,1.1445659766542424,78.84356683183506,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,323.82708000001776,323.82708000001776,0.0,0.0109880777577368,,,,,3,24,260,0,fixed-window,10,283,10,646,0.9222509232539134,no-pre
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.0104511552938045,,,,,3,24,260,0,fixed-window,10,283,10,646,1.0,no-pre
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.3846153846153846,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.0098023084529603,,,,,4,24,260,0,fixed-window,10,283,10,646,0.976602024845582,no-pre
Energy-WSRPT,3385.3319243306705,149904.75896778662,259,578.7828531574773,143751290598.0329,45158969510.27501,68.5853467315632,1.1445659766542424,726.9090733329451,0,0,153,12,95,0,58.84615384615385,4.615384615384615,36.53846153846154,0.0,95.24103221335204,95.24103221335204,0.0,0.0140461535640777,,,,,4,24,260,0,fixed-window,10,283,10,646,0.8572012850477788,no-pre
ActiveInf-inspired,3443.5041022722658,149651.71670047997,259,577.8058559864091,143751290598.0329,49692979596.54487,65.43128107593847,1.2567783273066502,726.9090733329451,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,348.283299520042,348.283299520042,0.0,0.0265557683843116,,,,,4,24,260,0,fixed-window,10,283,10,646,0.8719310860835879,no-pre
LEO-DRL-inspired,3577.0607835361407,149869.21706005326,259,578.6456257144913,143751290598.0329,45267529603.05627,68.5098273450383,1.167008446784708,726.9090733329451,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,130.7829399467143,130.7829399467143,0.0,0.0555576915548254,,,,,4,24,260,0,fixed-window,10,283,10,646,0.9057490281244546,no-pre
Hierarchical-RA-inspired,3443.5041022722658,149651.71670047997,259,577.8058559864091,143751290598.0329,49692979596.54487,65.43128107593847,1.2567783273066502,726.9090733329451,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,348.283299520042,348.283299520042,0.0,0.0128788456025246,,,,,4,24,260,0,fixed-window,10,283,10,646,0.8719310860835879,no-pre
DRL-UA-inspired,3645.854186249762,149991.0736395733,259,579.1161144385069,143751290598.0329,47143766281.89591,67.20463093877709,1.1894509169151812,726.9090733329451,0,0,154,0,106,0,59.23076923076923,0.0,40.76923076923077,0.0,8.926360426679253,8.926360426679253,0.0,0.0614649985576621,,,,,4,24,260,0,fixed-window,10,283,10,646,0.9231682338410652,no-pre
QoS-Multihop-projected,3540.545369482036,149690.42336778666,259,577.9553025783268,143751290598.0329,48208262778.39015,66.46411828524492,1.1445659766542424,726.9090733329451,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,309.57663221335093,309.57663221335093,0.0,0.0143473076884849,,,,,4,24,260,0,fixed-window,10,283,10,646,0.8965029451550811,no-pre
DelayCost-adapted,3443.5041022722658,149651.71670047997,259,577.8058559864091,143751290598.0329,49692979596.54487,65.43128107593847,1.2567783273066502,726.9090733329451,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,348.283299520042,348.283299520042,0.0,0.0112742305366107,,,,,4,24,260,0,fixed-window,10,283,10,646,0.8719310860835879,no-pre
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470055,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.0104157688418546,,,,,4,24,260,0,fixed-window,10,283,10,646,1.0,no-pre
Deadline-Energy,3736.392823105972,55724.94501317332,260,214.3267115891281,145966253614.7567,115042162606.88376,21.185781125471483,16.026909080403055,71.36271956499577,0,0,59,1,200,0,22.692307692307693,0.3846153846153846,76.92307692307692,0.0,94275.05498682668,94275.05498682668,0.0,0.0094161540171346,,,,,5,24,260,0,fixed-window,10,283,10,646,0.948997807285672,no-pre
Energy-WSRPT,3471.765746386301,149994.31164517338,259,579.1286163906308,145966253614.7567,45220625639.26772,69.01980799026546,0.9832486245364028,70.00163995268541,0,0,157,15,88,0,60.38461538461539,5.769230769230769,33.84615384615385,0.0,5.688354826696696,5.688354826696696,0.0,0.01110115386277,,,,,5,24,260,0,fixed-window,10,283,10,646,0.881785785572541,no-pre
ActiveInf-inspired,3458.499318970162,149928.29939221338,259,578.8737428270787,145966253614.7567,52843940095.84344,63.79715256972172,1.1894509169151757,70.00163995268541,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,71.70060778667579,71.70060778667579,0.0,0.0265796158391122,,,,,5,24,260,0,fixed-window,10,283,10,646,0.8784162762290441,no-pre
LEO-DRL-inspired,3582.0166113913906,149983.11302666672,259,579.0853784813387,145966253614.7567,51948638060.81276,64.41051491400276,1.0987846064879705,70.14701649298937,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,16.88697333332243,16.88697333332243,0.0,0.0544688462888678,,,,,5,24,260,0,fixed-window,10,283,10,646,0.9097881488396355,no-pre
Hierarchical-RA-inspired,3458.499318970162,149928.29939221338,259,578.8737428270787,145966253614.7567,52843940095.84344,63.79715256972172,1.1894509169151757,70.00163995268541,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,71.70060778667579,71.70060778667579,0.0,0.0129880782109327,,,,,5,24,260,0,fixed-window,10,283,10,646,0.8784162762290441,no-pre
DRL-UA-inspired,3717.100636022041,149996.66058314673,259,579.1376856492152,145966253614.7567,57680087538.77189,60.4839570035107,1.079645548510598,66.97653440604378,0,0,156,0,104,0,60.0,0.0,40.0,0.0,3.339416853341106,3.339416853341106,0.0,0.0565096152758297,,,,,5,24,260,0,fixed-window,10,283,10,646,0.9440978291229968,no-pre
QoS-Multihop-projected,3615.207749124073,149773.12681941336,259,578.2746209243759,145966253614.7567,49620549569.62471,66.00546472845265,1.0218073941260324,70.00163995268541,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,226.8731805866994,226.8731805866994,0.0,0.0152284607443457,,,,,5,24,260,0,fixed-window,10,283,10,646,0.9182182894647984,no-pre
DelayCost-adapted,3488.552789938942,149850.63120448004,259,578.5738656543631,145966253614.7567,51379515027.4298,64.80041533227686,1.1445659766542424,70.00163995268541,0,0,154,0,106,0,59.23076923076923,0.0,40.76923076923077,0.0,149.36879552000664,149.36879552000664,0.0,0.0113800006846968,,,,,5,24,260,0,fixed-window,10,283,10,646,0.8860494880996812,no-pre
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.0108461539359548,,,,,5,24,260,0,fixed-window,10,283,10,646,1.0,no-pre
Deadline-Energy,3774.454989403311,59623.26823472,260,229.3202624412308,136511684238.74995,94917012113.92496,30.46967910239732,14.60893868356937,73.92129724806482,0,0,66,1,193,0,25.384615384615383,0.3846153846153846,74.23076923076923,0.0,90376.73176528004,90376.73176528004,0.0,0.0103038451365696,,,,,6,24,260,0,fixed-window,10,283,10,646,0.954223681049816,no-pre
Energy-WSRPT,3450.5182428618828,149852.43026117323,257,583.083386230246,136511684238.74995,40142368011.44429,70.59418888918114,1.1121057625823825,110.72537450054526,0,0,152,23,85,0,58.46153846153846,8.846153846153847,32.69230769230769,0.0,147.56973882662228,147.56973882662228,0.0,0.0123630758025683,,,,,6,24,260,0,fixed-window,10,283,10,646,0.872328913307221,no-pre
ActiveInf-inspired,3559.4555089295304,149652.1489362133,257,582.304081463865,136511684238.74995,50179907496.561615,63.241309506664464,1.2567783273065891,110.72537450054526,0,0,150,0,110,0,57.69230769230769,0.0,42.30769230769231,0.0,347.8510637866695,347.8510637866695,0.0,0.0277461545640387,,,,,6,24,260,0,fixed-window,10,283,10,646,0.8998694507682352,no-pre
LEO-DRL-inspired,3647.3071349545503,149829.65900351992,257,582.9947821148635,136511684238.74995,48736741673.36094,64.29848335317321,1.1894509169151812,110.72537450054526,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,170.3409964800054,170.3409964800054,0.0,0.0542749998902973,,,,,6,24,260,0,fixed-window,10,283,10,646,0.9220793068155738,no-pre
Hierarchical-RA-inspired,3559.4555089295304,149652.1489362133,257,582.304081463865,136511684238.74995,50179907496.561615,63.241309506664464,1.2567783273065891,110.72537450054526,0,0,150,0,110,0,57.69230769230769,0.0,42.30769230769231,0.0,347.8510637866695,347.8510637866695,0.0,0.0142711528147069,,,,,6,24,260,0,fixed-window,10,283,10,646,0.8998694507682352,no-pre
DRL-UA-inspired,3666.0332057133455,149990.33930111988,257,583.6199972806221,136511684238.74995,48669707288.39765,64.34758858935655,1.1894509169151812,110.72537450054526,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,9.660698879989011,9.660698879989011,0.0,0.0589338451391086,,,,,6,24,260,0,fixed-window,10,283,10,646,0.9268134631960904,no-pre
QoS-Multihop-projected,3650.033153550884,149870.04893055998,257,583.1519413640466,136511684238.74995,49255548892.71529,63.91843733568581,1.1445659766542424,110.72537450054526,0,0,150,0,110,0,57.69230769230769,0.0,42.30769230769231,0.0,129.95106943996996,129.95106943996996,0.0,0.0137511536684961,,,,,6,24,260,0,fixed-window,10,283,10,646,0.9227684742601204,no-pre
DelayCost-adapted,3559.4555089295304,149652.1489362133,257,582.304081463865,136511684238.74995,50179907496.561615,63.241309506664464,1.2567783273065891,110.72537450054526,0,0,150,0,110,0,57.69230769230769,0.0,42.30769230769231,0.0,347.8510637866695,347.8510637866695,0.0,0.0121765375997011,,,,,6,24,260,0,fixed-window,10,283,10,646,0.8998694507682352,no-pre
Heuristic-TVD,3955.524332880461,149715.49098826657,257,582.550548592477,136511684238.74995,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.0100961550532911,,,,,6,24,260,0,fixed-window,10,283,10,646,1.0,no-pre
Deadline-Energy,3883.084076158536,71262.57109365333,260,274.08681189866667,139247165035.33093,99881808965.40208,28.27013107228485,11.838968943251544,68.4461327724551,0,0,71,0,189,0,27.307692307692307,0.0,72.6923076923077,0.0,78737.42890634667,78737.42890634667,0.0,0.0101503851160836,,,,,7,24,260,0,fixed-window,10,283,10,646,0.9443534133043082,no-pre
Energy-WSRPT,3507.6946827679367,149740.9884856531,254,589.5314507309178,139247165035.33093,44480995043.98906,68.05608571441797,1.000107804039059,66.51159414699696,0,0,155,26,79,0,59.61538461538461,10.0,30.384615384615383,0.0,259.0115143466953,259.0115143466953,0.0,0.0138103846648636,,,,,7,24,260,0,fixed-window,10,283,10,646,0.8530599342001044,no-pre
ActiveInf-inspired,3727.733689542321,149982.54397749322,254,590.482456604304,139247165035.33093,53876426618.40443,61.3087802507617,1.1445659766542424,69.26924140178392,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,17.456022506699696,17.456022506699696,0.0,0.0254746143652412,,,,,7,24,260,0,fixed-window,10,283,10,646,0.9065727047278668,no-pre
LEO-DRL-inspired,3813.089422655132,149795.4575097598,254,589.7458957077158,139247165035.33093,52972436472.51989,61.95797849164162,1.144565976654227,72.73764298342051,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,204.54249024003184,204.54249024003184,0.0,0.0527049991293237,,,,,7,24,260,0,fixed-window,10,283,10,646,0.9273309413071572,no-pre
Hierarchical-RA-inspired,3727.733689542321,149982.54397749322,254,590.482456604304,139247165035.33093,53876426618.40443,61.3087802507617,1.1445659766542424,69.26924140178392,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,17.456022506699696,17.456022506699696,0.0,0.0134565374957254,,,,,7,24,260,0,fixed-window,10,283,10,646,0.9065727047278668,no-pre
DRL-UA-inspired,3816.247168259498,149801.08214005324,254,589.7680399214695,139247165035.33093,51149656313.67213,63.26700346057743,1.1445659766542424,72.3059563761682,0,0,154,0,106,0,59.23076923076923,0.0,40.76923076923077,0.0,198.9178599467089,198.9178599467089,0.0,0.0595234613193987,,,,,7,24,260,0,fixed-window,10,283,10,646,0.9280988947640856,no-pre
QoS-Multihop-projected,3777.8795123474415,149648.61722495986,254,589.1677843502357,139247165035.33093,53327413536.64096,61.7030526092863,1.021807394126055,69.26924140178392,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,351.3827750399992,351.3827750399992,0.0,0.0138138452222427,,,,,7,24,260,0,fixed-window,10,283,10,646,0.918768005679428,no-pre
DelayCost-adapted,3727.733689542321,149982.54397749322,254,590.482456604304,139247165035.33093,53876426618.40443,61.3087802507617,1.1445659766542424,69.26924140178392,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,17.456022506699696,17.456022506699696,0.0,0.0112473074785576,,,,,7,24,260,0,fixed-window,10,283,10,646,0.9065727047278668,no-pre
Heuristic-TVD,4111.897115478791,149670.5285704532,258,580.1183277924542,139247165035.33093,48006134866.0227,65.5245154514692,1.021807394126055,61.38957043915382,0,0,169,0,91,0,65.0,0.0,35.0,0.0,329.4714295466986,329.4714295466986,0.0,0.0103165383244721,,,,,7,24,260,0,fixed-window,10,283,10,646,1.0,no-pre
Deadline-Energy,3807.586330320566,73051.95887727995,260,280.96907260492287,147675122448.8456,107986139264.03851,26.87587626585871,10.647973555536677,74.23923498141562,0,0,72,1,187,0,27.692307692307693,0.3846153846153846,71.92307692307692,0.0,76948.04112272005,76948.04112272005,0.0,0.009863461421516,,,,,8,24,260,0,fixed-window,10,283,10,646,0.9920789887534682,no-pre
Energy-WSRPT,3335.145916001523,149805.56215354672,256,585.1779771622919,147675122448.8456,43717117103.24272,70.39642400270483,1.079645548510545,78.66929020213107,0,0,150,27,83,0,57.69230769230769,10.384615384615383,31.923076923076923,0.0,194.43784645337144,194.43784645337144,0.0,0.0131723080322934,,,,,8,24,260,0,fixed-window,10,283,10,646,0.8689831039007548,no-pre
