policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,dpp_energy_queue_final,dpp_bandwidth_queue_final,seed,charge_power_w,normalized_value
EH-DORA-adapted,4299.224500950605,242843.89985429312,260,934.0149994395889,141896346105.7374,0.0,100.0,0.6502542858624414,1.3970378431981467,0,0,260,0,0,0,100.0,0.0,0.0,0.0,101728.6831827117,67500.0,92843.89985429312,0.025258846401881713,,,,,,,0,5.0,1.0
Adaptive-TVD,4157.524697953077,157991.4301969066,260,607.6593469111792,141896346105.7374,47140242710.651115,66.77839563569631,0.7175219706068068,51.10059546687355,0,0,179,0,81,0,68.84615384615384,0.0,31.153846153846153,0.0,138356.06124990614,67500.0,7991.4301969065855,0.013936538128361393,1.537341016728172,0.0,1.1857685539461902,0.018035502958579884,,,0,5.0,0.9670406132626485
Heuristic-TVD,4299.089593712807,238587.10040383984,260,917.6426938609225,141896346105.7374,1212196925.3928266,99.1457166032383,0.6502542858624414,1.3970378431981467,0,0,258,0,2,0,99.23076923076923,0.0,0.7692307692307693,0.0,105985.48263316504,67500.0,88587.10040383984,0.015198845358099788,,,,,,,0,5.0,0.9999686205645302
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.03456696943596,138183152908.2682,97623791629.69403,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,145385.6297115664,67500.0,0.0,0.011006537309955232,,,,,,,1,5.0,0.8896541124462983
EH-DORA-adapted,4335.435880122071,245780.7974722132,260,945.3107595085123,138183152908.2682,0.0,100.0,0.6502542858623201,1.3752468809696377,0,0,260,0,0,0,100.0,0.0,0.0,0.0,100090.6850778897,67500.0,95780.79747221319,0.025891537594501503,,,,,,,1,5.0,1.0
Adaptive-TVD,4198.619059275293,153506.15202090662,260,590.408277003487,138183152908.2682,48368828031.30707,64.99658097726548,0.7175219706068068,51.28760523710788,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,145385.6297115664,67500.0,3506.152020906622,0.013769229945655052,0.24556003740650967,0.0,1.4783254642067467,0.018035502958579884,,,1,5.0,0.9684421994397192
Heuristic-TVD,4334.082044454928,241592.2098532265,260,929.2008071277942,138183152908.2682,562613942.4265616,99.59284910599771,0.6332972624675071,1.3752468809696377,0,0,258,0,2,0,99.23076923076923,0.0,0.7692307692307693,0.0,104279.27269687637,67500.0,91592.2098532265,0.013927692466845306,,,,,,,1,5.0,0.9996877278998982
Deadline-Energy,3772.396708012707,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,141371.75166806538,67500.0,0.0,0.01135846004427339,,,,,,,2,5.0,0.8822743794086992
EH-DORA-adapted,4275.7636355041495,244366.35939743978,260,939.8706130670761,143551818802.25815,0.0,100.0,0.6163402390725726,1.3518660118525316,0,0,260,0,0,0,100.0,0.0,0.0,0.0,100971.43973273391,65393.08798145566,94366.35939743978,0.02633153803449554,,,,,,,2,5.0,1.0
Adaptive-TVD,4098.725726847564,157329.47149023996,260,605.1133518855383,143551818802.25815,47288811613.48493,67.05801987878328,0.7175219706068068,46.09007488730035,0,0,170,0,90,0,65.38461538461539,0.0,34.61538461538461,0.0,141371.75166806538,67500.0,7329.471490239957,0.014684999321336644,0.8278383443146271,0.0,1.1527603958942736,0.0180433066532218,,,2,5.0,0.958595019802653
Heuristic-TVD,4274.7379753777905,242306.17150367977,260,931.9468134756914,143551818802.25815,406391658.1993726,99.71690246658652,0.6163402390725726,1.3666974366365077,0,0,259,0,1,0,99.61538461538461,0.0,0.38461538461538464,0.0,103031.6276264939,65393.08798145566,92306.17150367977,0.015343846350263517,,,,,,,2,5.0,0.9997601223515158
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.157322764350077,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,149206.87579744,67500.0,0.0,0.009664615992313394,,,,,,,3,5.0,0.8813186783687035
EH-DORA-adapted,4362.721779479303,242886.9144479998,260,934.1804401846146,145714942829.99643,0.0,100.0,0.6502542858624414,1.3990153227836708,0,0,260,0,0,0,100.0,0.0,0.0,0.0,102880.45013126575,66592.0520269639,92886.91444799979,0.027081153530161828,,,,,,,3,5.0,1.0
Adaptive-TVD,4149.566283088196,151323.09687157327,260,582.0119110445125,145714942829.99643,53848777558.50026,63.04512322986334,0.8808252180754303,67.08438556866675,0,0,164,0,96,0,63.07692307692308,0.0,36.92307692307692,0.0,149206.87579744,66592.0520269639,1323.0968715732743,0.014475385474864967,0.4081306950885537,0.0,2.0800351306894496,0.018035502958579884,,,3,5.0,0.9511416250759525
Heuristic-TVD,4361.860210458505,240826.72655423978,260,926.2566405932299,145714942829.99643,699432729.3018737,99.5199993111771,0.6502542858624414,1.4055291812591946,0,0,259,0,1,0,99.61538461538461,0.0,0.38461538461538464,0.0,104940.63802502576,66592.0520269639,90826.72655423978,0.014633076296796879,,,,,,,3,5.0,0.9998025157082328
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.38461538461538464,69.23076923076923,0.0,143743.98411716803,67500.0,0.0,0.00993807871754353,,,,,,,4,5.0,0.8816285540168266
EH-DORA-adapted,4374.721556184982,251147.50405343986,260,965.9519386670763,143751290598.0329,0.0,100.0,0.6713495368931035,1.3970378431981467,0,0,260,0,0,0,100.0,0.0,0.0,0.0,94741.10311974498,67500.0,101147.50405343986,0.025570769391309183,,,,,,,4,5.0,1.0
Adaptive-TVD,4226.759110725852,158303.71908522665,260,608.8604580201026,143751290598.0329,46014578260.19179,67.99014598842047,0.9832486245364028,53.256150485392,0,0,169,0,91,0,65.0,0.0,35.0,0.0,141587.99032726817,67500.0,8303.71908522665,0.014790383172042381,2.0435690245810214,0.0,1.5504004717966124,0.018035502958579884,,,4,5.0,0.9661778598800328
Heuristic-TVD,4374.635323333025,249019.10432821323,260,957.7657858777432,143751290598.0329,317972799.8851056,99.77880351643294,0.6713495368931035,1.3988872550734952,0,0,259,0,1,0,99.61538461538461,0.0,0.38461538461538464,0.0,96869.50284497163,67500.0,99019.10432821323,0.014382308738556905,,,,,,,4,5.0,0.9999802883793061
Deadline-Energy,3736.392823105972,55724.94501317332,260,214.32671158912814,145966253614.7567,115042162606.88376,21.185781125471483,16.026909080403055,71.36271956499577,0,0,59,1,200,0,22.692307692307693,0.38461538461538464,76.92307692307692,0.0,144897.42808416003,67500.0,0.0,0.010391154948872728,,,,,,,5,5.0,0.8744498924849632
EH-DORA-adapted,4272.849542571385,248632.7248070399,260,956.2797107963073,145966253614.7567,242796745.6850041,99.83366241191214,0.6713495368931415,1.3221965301697007,0,0,259,0,1,0,99.61538461538461,0.0,0.38461538461538464,0.0,96997.45240575251,59525.50959256831,98632.7248070399,0.0268492308140804,,,,,,,5,5.0,1.0
