policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
LEO-DRL-inspired,3600.2351175699287,149988.1052278933,256,585.8910360464583,147675122448.8456,50727682313.99014,65.64913475418845,1.1894509169151812,78.71920664394437,0,0,151,1,108,0,58.07692307692308,0.3846153846153846,41.53846153846154,0.0,11.894772106579126,11.894772106579126,0.0,0.0563276920449705,,,,,8,24,260,1,fixed-window,10,283,10,646,0.9380529566122248
Hierarchical-RA-inspired,3426.273397913878,149989.19807631974,256,585.895304985624,147675122448.8456,52585182670.81497,64.39130586194003,1.2567783273065891,79.33171732849058,0,0,150,19,91,0,57.69230769230769,7.3076923076923075,35.0,0.0,10.801923679920437,10.801923679920437,0.0,0.0162815386339878,,,,,8,24,260,1,fixed-window,10,283,10,646,0.8927266653752094
DRL-UA-inspired,3579.795767335825,149982.71398410664,256,585.8699765004166,147675122448.8456,48933071912.43736,66.8643769505675,1.1445659766542424,78.66929020213107,0,0,152,8,100,0,58.46153846153846,3.076923076923077,38.46153846153846,0.0,17.286015893293552,17.286015893293552,0.0,0.0586153838622312,,,,,8,24,260,1,fixed-window,10,283,10,646,0.9327274175037472
QoS-Multihop-projected,3569.973175855516,149982.4829769066,256,585.8690741285415,147675122448.8456,47500814640.84448,67.83424733079285,1.079645548510598,78.58622750875276,0,0,152,11,97,0,58.46153846153846,4.230769230769231,37.30769230769231,0.0,17.517023093327282,17.517023093327282,0.0,0.0191411556443199,,,,,8,24,260,1,fixed-window,10,283,10,646,0.9301681093811384
DelayCost-adapted,3426.273397913878,149989.19807631974,256,585.895304985624,147675122448.8456,52585182670.81497,64.39130586194003,1.2567783273065891,79.33171732849058,0,0,150,19,91,0,57.69230769230769,7.3076923076923075,35.0,0.0,10.801923679920437,10.801923679920437,0.0,0.0143476923067982,,,,,8,24,260,1,fixed-window,10,283,10,646,0.8927266653752094
Heuristic-TVD,3837.987069058623,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.0136753855398497,,,,,8,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3987.9015633096137,64223.37783562667,260,247.0129916754872,145047080871.27374,102072848551.6437,29.62778158753072,10.752650312716169,66.8191582745461,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,85776.62216437332,85776.62216437332,0.0,0.0100676927384204,,,,,9,24,260,1,fixed-window,10,283,10,646,0.9916659151008066
Energy-WSRPT,3445.5022080778594,149772.53937029318,256,585.0489819152077,145047080871.27374,39449361301.11854,72.80237488120906,0.9832486245364028,79.09861167966864,0,0,157,29,74,0,60.38461538461539,11.153846153846152,28.46153846153846,0.0,227.4606297067164,227.4606297067164,0.0,0.0124615386504536,,,,,9,24,260,1,fixed-window,10,283,10,646,0.8567882245618275
ActiveInf-inspired,3501.9678804278847,149998.5902089065,256,585.9319930035412,145047080871.27374,47738787636.49417,67.08738476518438,1.144565976654227,79.09861167966864,0,0,158,7,95,0,60.76923076923077,2.6923076923076925,36.53846153846154,0.0,1.4097910932952402,1.4097910932952402,0.0,0.0292288460723984,,,,,9,24,260,1,fixed-window,10,283,10,646,0.8708294644855881
LEO-DRL-inspired,3651.938095502038,149988.17452383976,256,585.891306733749,145047080871.27374,36981232304.33303,74.50398030612342,1.0796455485105754,79.08487899752723,0,0,167,18,75,0,64.23076923076923,6.923076923076923,28.846153846153847,0.0,11.825476159993684,11.825476159993684,0.0,0.0536276914107684,,,,,9,24,260,1,fixed-window,10,283,10,646,0.9081223485270762
Hierarchical-RA-inspired,3501.9678804278847,149998.5902089065,256,585.9319930035412,145047080871.27374,47738787636.49417,67.08738476518438,1.144565976654227,79.09861167966864,0,0,158,7,95,0,60.76923076923077,2.6923076923076925,36.53846153846154,0.0,1.4097910932952402,1.4097910932952402,0.0,0.0155561552114354,,,,,9,24,260,1,fixed-window,10,283,10,646,0.8708294644855881
DRL-UA-inspired,3725.246302215396,149997.2946666132,256,585.9269322914578,145047080871.27374,41707524814.1982,71.24552623626204,1.1121057625823596,77.44137861085507,0,0,158,9,93,0,60.76923076923077,3.4615384615384617,35.76923076923077,0.0,2.7053333866434173,2.7053333866434173,0.0,0.0603330754809296,,,,,9,24,260,1,fixed-window,10,283,10,646,0.9263517979607452
QoS-Multihop-projected,3595.7502105434774,149983.34119957322,256,585.8724265608329,145047080871.27374,45641694540.19769,68.53318642055007,1.0218073941260588,79.09861167966864,0,0,157,8,95,0,60.38461538461539,3.076923076923077,36.53846153846154,0.0,16.65880042666481,16.65880042666481,0.0,0.0170723090727383,,,,,9,24,260,1,fixed-window,10,283,10,646,0.8941501856061923
DelayCost-adapted,3501.616872063879,149988.46288666653,256,585.8924331510411,145047080871.27374,44685511553.43287,69.1924089164605,1.079645548510598,79.09861167966864,0,0,158,11,91,0,60.76923076923077,4.230769230769231,35.0,0.0,11.537113333294911,11.537113333294911,0.0,0.0139769221557519,,,,,9,24,260,1,fixed-window,10,283,10,646,0.8707421797256776
Heuristic-TVD,4021.416388909796,149539.87916986653,257,581.8672341239943,145047080871.27374,40555041023.97266,72.04008465364124,0.9832486245364028,70.43976702267629,0,0,172,1,87,0,66.15384615384616,0.3846153846153846,33.46153846153846,0.0,460.12083013330334,460.12083013330334,0.0,0.0140834623240292,,,,,9,24,260,1,fixed-window,10,283,10,646,1.0
