policy,total_value,compute_energy_j,comm_energy_j,energy_j,useful_tasks,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,mean_decision_ms,seed,contact_model,window_count,capacity_gbit,training_seed_count,training_q_states,normalized_value
Deadline-Energy,2770.568062751385,50209.82014431999,99788.37956766828,149998.19971198827,194,143751290598.0329,74620211451.44052,48.09075373097094,40.124460588796566,958.1077605278472,0,66,54,2,138,66,20.76923076923077,0.7692307692307693,53.07692307692308,25.384615384615383,1.800288011711757,0.0121461535365177,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.986983299966986
Energy-WSRPT,2603.904799930005,147631.39571909333,2313.9366229409648,149945.3323420343,165,143751290598.0329,1732830657.1203668,98.79456340884909,1.1894509169151812,1095.1602975364308,0,108,152,11,2,95,58.46153846153846,4.230769230769231,0.7692307692307693,36.53846153846154,54.66765796573032,0.0160519222845323,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9276114118209298
ActiveInf-inspired,2537.62821749033,149687.43930047995,305.88495688654154,149993.3242573665,155,143751290598.0329,230857610.88243097,99.83940484296036,1.2723023214839486,1151.9774666621788,0,0,153,2,0,105,58.84615384615385,0.7692307692307693,0.0,40.38461538461539,6.675742633500448,0.0310434610582888,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.904001134590677
LEO-DRL-inspired,2673.930977218504,135324.6642938666,14673.655254770209,149998.31954863682,166,143751290598.0329,10994201666.01784,92.35192837554372,1.322196530169625,1086.082644483732,0,0,140,4,22,94,53.84615384615385,1.5384615384615383,8.461538461538462,36.15384615384615,1.6804513631844529,0.0479996160720475,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9525574394870538
Heuristic-TVD,2807.1073369165,144699.3400812265,5292.393684458492,149991.73376568497,181,143751290598.0329,3988812060.2878,97.22519913129577,1.1894509169151812,1014.9867539137068,0,0,155,19,7,79,59.61538461538461,7.3076923076923075,2.6923076923076925,30.384615384615383,8.266234314875561,0.0161030774156992,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,1.0
Deadline-Energy,2487.513265974845,47381.96536069333,102533.87922268684,149915.84458338015,184,145966253614.7567,76601375387.66095,47.52117459297674,64.35999824486541,1092.6375326410557,0,101,50,1,133,76,19.23076923076923,0.3846153846153846,51.15384615384615,29.23076923076923,84.15541661984642,0.0129919238343763,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9520555128982026
Energy-WSRPT,2550.681072713767,146077.16471589336,3900.350500276455,149977.51521616982,164,145966253614.7567,2935377535.1000686,97.9890026205322,1.1312448205597776,1189.0230191092965,0,97,152,5,7,96,58.46153846153846,1.9230769230769231,2.6923076923076925,36.92307692307692,22.48478383020964,0.0159811519552022,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9762319703531585
ActiveInf-inspired,2459.009195591816,149946.16069221337,43.71592121549493,149989.87661342887,154,145966253614.7567,33005080.82476913,99.97738855385585,1.1894509169151812,1278.044386814982,0,0,153,1,0,106,58.84615384615385,0.3846153846153846,0.0,40.76923076923077,10.12338657118086,0.0326788468205799,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9411460404867796
LEO-DRL-inspired,2501.2407956099937,138058.51159253335,11897.703515717272,149956.21510825062,159,145966253614.7567,8894359235.00404,93.90656469235788,1.2723023214839486,1237.4460368614352,0,0,141,2,16,101,54.23076923076923,0.7692307692307693,6.153846153846154,38.84615384615385,43.78489174937813,0.0495173084066034,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9573095030764196
Heuristic-TVD,2612.7817467307914,147347.1353971733,2651.7334632798465,149998.86886045313,173,145966253614.7567,2001692857.5508168,98.62866052393603,1.1534971625462276,1156.2351523587322,0,0,156,15,2,87,60.0,5.769230769230769,0.7692307692307693,33.46153846153846,1.131139546829786,0.0157338461856572,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,1.0
